Name: Lazarettstraße, Instruction: Head southwest on Lazarettstraße, Distance: 40.4 meters, Time: 29.1 seconds
Name: -, Instruction: Turn right, Distance: 30.3 meters, Time: 21.8 seconds
Name: -, Instruction: Turn right, Distance: 69.8 meters, Time: 50.2 seconds
Name: -, Instruction: Continue straight, Distance: 240.8 meters, Time: 173.4 seconds
Name: -, Instruction: Turn left, Distance: 8.0 meters, Time: 5.8 seconds
Name: Pfänderstraße, Instruction: Turn right onto Pfänderstraße, Distance: 4.1 meters, Time: 2.9 seconds
Name: -, Instruction: Turn left, Distance: 52.0 meters, Time: 37.4 seconds
Name: -, Instruction: Turn right, Distance: 23.6 meters, Time: 17.0 seconds
Name: -, Instruction: Turn left, Distance: 81.6 meters, Time: 58.7 seconds
Name: -, Instruction: Keep right, Distance: 53.0 meters, Time: 38.2 seconds
Name: -, Instruction: Turn slight left, Distance: 154.4 meters, Time: 111.2 seconds
Name: -, Instruction: Keep left, Distance: 4.4 meters, Time: 3.2 seconds
Name: Kapschstraße, Instruction: Turn right onto Kapschstraße, Distance: 188.5 meters, Time: 135.7 seconds
Name: Albrechtstraße, Instruction: Turn right onto Albrechtstraße, Distance: 85.4 meters, Time: 61.5 seconds
Name: Hedwigstraße, Instruction: Turn left onto Hedwigstraße, Distance: 61.6 meters, Time: 44.3 seconds
Name: -, Instruction: Turn right, Distance: 5.6 meters, Time: 4.0 seconds
Name: -, Instruction: Turn left, Distance: 54.3 meters, Time: 39.1 seconds
Name: -, Instruction: Turn right, Distance: 125.7 meters, Time: 90.5 seconds
Name: -, Instruction: Turn left, Distance: 5.2 meters, Time: 3.8 seconds
Name: Jutastraße, Instruction: Turn right onto Jutastraße, Distance: 109.9 meters, Time: 79.1 seconds
Name: -, Instruction: Turn left, Distance: 23.2 meters, Time: 16.7 seconds
Name: -, Instruction: Turn sharp right, Distance: 9.4 meters, Time: 6.7 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
