Name: Chatsworth Avenue, Instruction: Head southeast on Chatsworth Avenue, Distance: 82.0 meters, Time: 59.1 seconds
Name: Chatsworth Road, Instruction: Enter the roundabout and take the 1st exit onto Chatsworth Road, Distance: 224.6 meters, Time: 161.7 seconds
Name: -, Instruction: Turn right, Distance: 8.5 meters, Time: 6.1 seconds
Name: -, Instruction: Keep right, Distance: 213.2 meters, Time: 153.5 seconds
Name: -, Instruction: Turn slight left, Distance: 8.2 meters, Time: 5.9 seconds
Name: Nathan Road, Instruction: Turn right onto Nathan Road, Distance: 5.5 meters, Time: 4.0 seconds
Name: Nathan Road, Instruction: Keep left onto Nathan Road, Distance: 628.6 meters, Time: 452.6 seconds
Name: Nathan Road, Instruction: Continue straight onto Nathan Road, Distance: 141.2 meters, Time: 101.7 seconds
Name: -, Instruction: Turn right, Distance: 10.3 meters, Time: 7.4 seconds
Name: -, Instruction: Turn left, Distance: 22.1 meters, Time: 15.9 seconds
Name: -, Instruction: Turn right, Distance: 82.8 meters, Time: 59.6 seconds
Name: -, Instruction: Continue straight, Distance: 7.6 meters, Time: 5.5 seconds
Name: -, Instruction: Continue straight, Distance: 331.6 meters, Time: 238.8 seconds
Name: -, Instruction: Turn right, Distance: 20.3 meters, Time: 14.6 seconds
Name: -, Instruction: Turn slight left, Distance: 28.7 meters, Time: 20.7 seconds
Name: -, Instruction: Turn slight left, Distance: 15.6 meters, Time: 11.2 seconds
Name: -, Instruction: Turn left, Distance: 31.0 meters, Time: 22.3 seconds
Name: -, Instruction: Turn left, Distance: 9.3 meters, Time: 6.7 seconds
Name: -, Instruction: Turn right, Distance: 197.8 meters, Time: 142.4 seconds
Name: -, Instruction: Turn left, Distance: 57.3 meters, Time: 41.3 seconds
Name: -, Instruction: Turn right, Distance: 21.1 meters, Time: 15.2 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
