Name: Bukit Batok Street 32, Instruction: Head southeast on Bukit Batok Street 32, Distance: 31.0 meters, Time: 22.3 seconds
Name: -, Instruction: Turn right, Distance: 235.7 meters, Time: 169.7 seconds
Name: -, Instruction: Turn right, Distance: 11.1 meters, Time: 8.0 seconds
Name: Bukit Batok West Park Connector, Instruction: Turn left onto Bukit Batok West Park Connector, Distance: 96.5 meters, Time: 69.5 seconds
Name: Bukit Batok Park Connector, Instruction: Turn right onto Bukit Batok Park Connector, Distance: 49.6 meters, Time: 35.7 seconds
Name: Bukit Batok Park Connector, Instruction: Continue straight onto Bukit Batok Park Connector, Distance: 141.5 meters, Time: 101.9 seconds
Name: Bukit Batok Park Connector, Instruction: Turn left onto Bukit Batok Park Connector, Distance: 21.5 meters, Time: 15.5 seconds
Name: Bukit Batok West Avenue 5, Instruction: Turn right onto Bukit Batok West Avenue 5, Distance: 275.9 meters, Time: 198.6 seconds
Name: -, Instruction: Keep left, Distance: 22.7 meters, Time: 16.4 seconds
Name: -, Instruction: Turn left, Distance: 7.6 meters, Time: 5.4 seconds
Name: -, Instruction: Turn right, Distance: 376.0 meters, Time: 270.7 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
