Name: Georgina Street, Instruction: Head north on Georgina Street, Distance: 31.6 meters, Time: 22.8 seconds
Name: -, Instruction: Turn right, Distance: 592.5 meters, Time: 426.6 seconds
Name: -, Instruction: Turn slight left, Distance: 7.1 meters, Time: 5.1 seconds
Name: Darlington Road, Instruction: Turn right onto Darlington Road, Distance: 6.0 meters, Time: 4.3 seconds
Name: Butlin Avenue, Instruction: Turn left onto Butlin Avenue, Distance: 7.5 meters, Time: 5.4 seconds
Name: Maze Court, Instruction: Turn right onto Maze Court, Distance: 78.9 meters, Time: 56.8 seconds
Name: -, Instruction: Turn slight right, Distance: 75.6 meters, Time: 54.4 seconds
Name: -, Instruction: Turn right, Distance: 18.3 meters, Time: 13.2 seconds
Name: -, Instruction: Turn left, Distance: 132.5 meters, Time: 95.4 seconds
Name: -, Instruction: Turn right, Distance: 25.7 meters, Time: 18.5 seconds
Name: -, Instruction: Turn left, Distance: 51.8 meters, Time: 37.3 seconds
Name: Engineering Walk, Instruction: Turn left onto Engineering Walk, Distance: 90.4 meters, Time: 65.1 seconds
Name: -, Instruction: Turn left, Distance: 3.4 meters, Time: 2.5 seconds
Name: Blackwattle Creek Lane, Instruction: Turn right onto Blackwattle Creek Lane, Distance: 5.9 meters, Time: 4.2 seconds
Name: -, Instruction: Arrive at Blackwattle Creek Lane, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
