Name: Petersham Road, Instruction: Head south on Petersham Road, Distance: 40.0 meters, Time: 28.8 seconds
Name: -, Instruction: Turn right, Distance: 136.4 meters, Time: 98.2 seconds
Name: -, Instruction: Turn left, Distance: 380.3 meters, Time: 273.8 seconds
Name: -, Instruction: Turn slight right, Distance: 2.5 meters, Time: 1.8 seconds
Name: -, Instruction: Turn left, Distance: 1102.4 meters, Time: 793.7 seconds
Name: Cooks River Cycleway, Instruction: Continue straight onto Cooks River Cycleway, Distance: 10.5 meters, Time: 7.6 seconds
Name: -, Instruction: Continue straight, Distance: 46.6 meters, Time: 33.6 seconds
Name: -, Instruction: Turn left, Distance: 16.9 meters, Time: 12.2 seconds
Name: -, Instruction: Turn right, Distance: 600.1 meters, Time: 432.1 seconds
Name: -, Instruction: Turn right, Distance: 6.1 meters, Time: 4.4 seconds
Name: -, Instruction: Turn sharp left, Distance: 11.1 meters, Time: 8.0 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
