Name: Avenida Lúcio Costa, Instruction: Head west on Avenida Lúcio Costa, Distance: 42.7 meters, Time: 30.8 seconds
Name: Rua Raul Amaro Nim Ferreira, Instruction: Turn right onto Rua Raul Amaro Nim Ferreira, Distance: 237.6 meters, Time: 171.1 seconds
Name: Rua Professor Hermes Lima, Instruction: Turn left onto Rua Professor Hermes Lima, Distance: 3.9 meters, Time: 2.8 seconds
Name: -, Instruction: Turn right, Distance: 51.1 meters, Time: 36.8 seconds
Name: Avenida Alfredo Balthazar da Silveira, Instruction: Turn right onto Avenida Alfredo Balthazar da Silveira, Distance: 14.4 meters, Time: 10.4 seconds
Name: Rua Professor Hermes Lima, Instruction: Turn right onto Rua Professor Hermes Lima, Distance: 51.6 meters, Time: 37.1 seconds
Name: Rua Professor Hermes Lima, Instruction: Turn sharp left onto Rua Professor Hermes Lima, Distance: 35.1 meters, Time: 25.3 seconds
Name: Avenida Alfredo Balthazar da Silveira, Instruction: Turn slight right onto Avenida Alfredo Balthazar da Silveira, Distance: 84.4 meters, Time: 60.8 seconds
Name: -, Instruction: Turn left, Distance: 15.1 meters, Time: 10.9 seconds
Name: Avenida Alfredo Balthazar da Silveira, Instruction: Turn right onto Avenida Alfredo Balthazar da Silveira, Distance: 59.2 meters, Time: 42.6 seconds
Name: Rua Professor Nehemias Gueiros, Instruction: Keep left onto Rua Professor Nehemias Gueiros, Distance: 299.1 meters, Time: 215.4 seconds
Name: Rua Rabino Henrique Lemle, Instruction: Turn right onto Rua Rabino Henrique Lemle, Distance: 473.5 meters, Time: 340.9 seconds
Name: Rua Rabino Henrique Lemle, Instruction: Turn left onto Rua Rabino Henrique Lemle, Distance: 92.3 meters, Time: 66.5 seconds
Name: Rua Jorge Emílio Fontenelle, Instruction: Turn right onto Rua Jorge Emílio Fontenelle, Distance: 33.0 meters, Time: 23.7 seconds
Name: Praça Miguel Osório, Instruction: Turn left onto Praça Miguel Osório, Distance: 81.8 meters, Time: 58.9 seconds
Name: Rua Gustavo Corção, Instruction: Turn right onto Rua Gustavo Corção, Distance: 142.3 meters, Time: 102.5 seconds
Name: Rua Gustavo Corção, Instruction: Continue straight onto Rua Gustavo Corção, Distance: 45.1 meters, Time: 32.5 seconds
Name: Avenida Guignard, Instruction: Turn slight right onto Avenida Guignard, Distance: 30.6 meters, Time: 22.0 seconds
Name: -, Instruction: Keep left, Distance: 31.5 meters, Time: 22.7 seconds
Name: Rua Arthur Possolo, Instruction: Turn right onto Rua Arthur Possolo, Distance: 90.5 meters, Time: 65.2 seconds
Name: Rua Gélson Fonseca, Instruction: Turn left onto Rua Gélson Fonseca, Distance: 71.7 meters, Time: 51.6 seconds
Name: Rua Odilon Martins de Andrade, Instruction: Enter the roundabout and take the 1st exit onto Rua Odilon Martins de Andrade, Distance: 465.6 meters, Time: 335.2 seconds
Name: -, Instruction: Turn left, Distance: 123.2 meters, Time: 88.7 seconds
Name: -, Instruction: Turn right, Distance: 27.4 meters, Time: 19.7 seconds
Name: -, Instruction: Turn slight right, Distance: 95.9 meters, Time: 69.0 seconds
Name: -, Instruction: Turn left, Distance: 11.9 meters, Time: 8.6 seconds
Name: -, Instruction: Turn right, Distance: 63.7 meters, Time: 45.8 seconds
Name: -, Instruction: Keep left, Distance: 31.7 meters, Time: 22.8 seconds
Name: -, Instruction: Turn right, Distance: 13.8 meters, Time: 9.9 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
