Name: Avenue Foch, Instruction: Head east on Avenue Foch, Distance: 3.7 meters, Time: 2.7 seconds
Name: Rue de Traktir, Instruction: Keep right onto Rue de Traktir, Distance: 5.1 meters, Time: 3.7 seconds
Name: -, Instruction: Turn left, Distance: 4.0 meters, Time: 2.9 seconds
Name: -, Instruction: Turn right, Distance: 48.7 meters, Time: 35.0 seconds
Name: -, Instruction: Turn left, Distance: 3.6 meters, Time: 2.6 seconds
Name: -, Instruction: Turn right, Distance: 19.3 meters, Time: 13.9 seconds
Name: -, Instruction: Turn left, Distance: 142.9 meters, Time: 102.9 seconds
Name: -, Instruction: Turn right, Distance: 41.2 meters, Time: 29.6 seconds
Name: -, Instruction: Turn left, Distance: 181.0 meters, Time: 130.3 seconds
Name: Promenade des Champs-Élysées, Instruction: Turn right onto Promenade des Champs-Élysées, Distance: 46.9 meters, Time: 33.8 seconds
Name: Rue de Presbourg, Instruction: Turn left onto Rue de Presbourg, Distance: 20.3 meters, Time: 14.6 seconds
Name: Rue Arsène Houssaye, Instruction: Turn right onto Rue Arsène Houssaye, Distance: 147.1 meters, Time: 105.9 seconds
Name: -, Instruction: Keep right, Distance: 4.9 meters, Time: 3.5 seconds
Name: -, Instruction: Turn left, Distance: 66.8 meters, Time: 48.1 seconds
Name: -, Instruction: Turn left, Distance: 4.5 meters, Time: 3.2 seconds
Name: -, Instruction: Turn right, Distance: 206.0 meters, Time: 148.3 seconds
Name: -, Instruction: Turn left, Distance: 273.0 meters, Time: 196.6 seconds
Name: -, Instruction: Turn left, Distance: 21.1 meters, Time: 15.2 seconds
Name: -, Instruction: Keep left, Distance: 241.2 meters, Time: 173.7 seconds
Name: -, Instruction: Turn left, Distance: 1.1 meters, Time: 0.8 seconds
Name: -, Instruction: Turn right, Distance: 502.5 meters, Time: 361.8 seconds
Name: -, Instruction: Keep left, Distance: 6.5 meters, Time: 4.7 seconds
Name: -, Instruction: Keep left, Distance: 160.4 meters, Time: 115.5 seconds
Name: -, Instruction: Keep left, Distance: 92.3 meters, Time: 66.4 seconds
Name: -, Instruction: Turn left, Distance: 13.4 meters, Time: 9.6 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
