Name: Blomvlei Road, Instruction: Head west on Blomvlei Road, Distance: 55.1 meters, Time: 39.7 seconds
Name: Summit Road, Instruction: Turn left onto Summit Road, Distance: 161.9 meters, Time: 116.6 seconds
Name: Athwood Road, Instruction: Turn left onto Athwood Road, Distance: 80.3 meters, Time: 57.8 seconds
Name: -, Instruction: Turn right, Distance: 346.3 meters, Time: 249.4 seconds
Name: Columbine Place, Instruction: Turn left onto Columbine Place, Distance: 34.5 meters, Time: 24.8 seconds
Name: Columbine Place, Instruction: Turn right onto Columbine Place, Distance: 33.8 meters, Time: 24.4 seconds
Name: -, Instruction: Keep right, Distance: 61.7 meters, Time: 44.4 seconds
Name: -, Instruction: Turn left, Distance: 20.3 meters, Time: 14.6 seconds
Name: -, Instruction: Keep right, Distance: 42.0 meters, Time: 30.2 seconds
Name: -, Instruction: Turn right, Distance: 223.1 meters, Time: 160.7 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
