Name: Joseph-Hörwick-Weg, Instruction: Head east on Joseph-Hörwick-Weg, Distance: 6.3 meters, Time: 4.6 seconds
Name: Innsbrucker Ring, Instruction: Turn left onto Innsbrucker Ring, Distance: 168.2 meters, Time: 121.1 seconds
Name: Schlüsselbergstraße, Instruction: Continue straight onto Schlüsselbergstraße, Distance: 133.0 meters, Time: 95.7 seconds
Name: -, Instruction: Turn right, Distance: 28.7 meters, Time: 20.7 seconds
Name: -, Instruction: Keep left, Distance: 66.7 meters, Time: 48.1 seconds
Name: -, Instruction: Turn right, Distance: 57.7 meters, Time: 41.5 seconds
Name: Fehwiesenstraße, Instruction: Turn left onto Fehwiesenstraße, Distance: 43.3 meters, Time: 31.2 seconds
Name: -, Instruction: Turn right, Distance: 181.1 meters, Time: 130.4 seconds
Name: -, Instruction: Turn left, Distance: 4.1 meters, Time: 2.9 seconds
Name: Altöttinger Straße, Instruction: Turn right onto Altöttinger Straße, Distance: 34.3 meters, Time: 24.7 seconds
Name: -, Instruction: Turn left, Distance: 169.6 meters, Time: 122.1 seconds
Name: Josephsburgstraße, Instruction: Keep left onto Josephsburgstraße, Distance: 178.8 meters, Time: 128.7 seconds
Name: -, Instruction: Turn left, Distance: 5.0 meters, Time: 3.6 seconds
Name: -, Instruction: Turn right, Distance: 69.4 meters, Time: 49.9 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
