Name: Sankt-Quirin-Straße, Instruction: Head east on Sankt-Quirin-Straße, Distance: 43.1 meters, Time: 31.0 seconds
Name: Traunsteiner Straße, Instruction: Turn left onto Traunsteiner Straße, Distance: 185.4 meters, Time: 133.4 seconds
Name: -, Instruction: Continue straight, Distance: 11.9 meters, Time: 8.6 seconds
Name: Traunsteiner Straße, Instruction: Continue straight onto Traunsteiner Straße, Distance: 31.2 meters, Time: 22.4 seconds
Name: -, Instruction: Continue straight, Distance: 12.4 meters, Time: 8.9 seconds
Name: Traunsteiner Straße, Instruction: Continue straight onto Traunsteiner Straße, Distance: 50.1 meters, Time: 36.1 seconds
Name: Weißenseestraße, Instruction: Turn left onto Weißenseestraße, Distance: 574.6 meters, Time: 413.7 seconds
Name: Werner-Schlierf-Straße, Instruction: Turn right onto Werner-Schlierf-Straße, Distance: 38.8 meters, Time: 28.0 seconds
Name: Werner-Schlierf-Straße, Instruction: Keep left onto Werner-Schlierf-Straße, Distance: 215.4 meters, Time: 155.1 seconds
Name: Spixstraße, Instruction: Turn right onto Spixstraße, Distance: 4.8 meters, Time: 3.5 seconds
Name: Wirtstraße, Instruction: Turn left onto Wirtstraße, Distance: 7.9 meters, Time: 5.7 seconds
Name: Spixstraße, Instruction: Turn right onto Spixstraße, Distance: 6.4 meters, Time: 4.6 seconds
Name: Wirtstraße, Instruction: Turn left onto Wirtstraße, Distance: 274.9 meters, Time: 197.9 seconds
Name: Tegernseer Landstraße, Instruction: Turn right onto Tegernseer Landstraße, Distance: 9.0 meters, Time: 6.5 seconds
Name: Martin-Luther-Straße, Instruction: Turn slight left onto Martin-Luther-Straße, Distance: 34.9 meters, Time: 25.1 seconds
Name: Martin-Luther-Straße, Instruction: Keep right onto Martin-Luther-Straße, Distance: 106.4 meters, Time: 76.6 seconds
Name: Zehentbauernstraße, Instruction: Turn left onto Zehentbauernstraße, Distance: 18.2 meters, Time: 13.1 seconds
Name: Martin-Luther-Straße, Instruction: Turn right onto Martin-Luther-Straße, Distance: 164.5 meters, Time: 118.4 seconds
Name: -, Instruction: Turn right, Distance: 6.6 meters, Time: 4.7 seconds
Name: Martin-Luther-Straße, Instruction: Turn left onto Martin-Luther-Straße, Distance: 16.9 meters, Time: 12.2 seconds
Name: Martin-Luther-Straße, Instruction: Continue straight onto Martin-Luther-Straße, Distance: 52.5 meters, Time: 37.8 seconds
Name: -, Instruction: Arrive at Martin-Luther-Straße, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
