Name: Coniston Place, Instruction: Head east on Coniston Place, Distance: 37.5 meters, Time: 27.0 seconds
Name: -, Instruction: Turn left, Distance: 54.6 meters, Time: 39.3 seconds
Name: -, Instruction: Turn right, Distance: 85.2 meters, Time: 61.4 seconds
Name: Lonedown Road, Instruction: Turn right onto Lonedown Road, Distance: 429.7 meters, Time: 309.4 seconds
Name: Stonelands Road, Instruction: Turn left onto Stonelands Road, Distance: 271.6 meters, Time: 195.6 seconds
Name: Surran Road, Instruction: Turn right onto Surran Road, Distance: 299.7 meters, Time: 215.8 seconds
Name: Johnvlei Walk, Instruction: Turn right onto Johnvlei Walk, Distance: 36.2 meters, Time: 26.1 seconds
Name: -, Instruction: Turn left, Distance: 70.1 meters, Time: 50.5 seconds
Name: -, Instruction: Keep left, Distance: 15.1 meters, Time: 10.9 seconds
Name: -, Instruction: Turn slight left, Distance: 8.1 meters, Time: 5.8 seconds
Name: -, Instruction: Turn slight right, Distance: 59.9 meters, Time: 43.2 seconds
Name: Ryston Road, Instruction: Turn left onto Ryston Road, Distance: 2.8 meters, Time: 2.0 seconds
Name: Lansia Walk, Instruction: Turn right onto Lansia Walk, Distance: 97.4 meters, Time: 70.1 seconds
Name: Lansia Walk, Instruction: Turn right onto Lansia Walk, Distance: 42.0 meters, Time: 30.2 seconds
Name: -, Instruction: Arrive at Lansia Walk, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
