Name: Rue de l'Abbé Groult, Instruction: Head southeast on Rue de l'Abbé Groult, Distance: 225.3 meters, Time: 162.2 seconds
Name: -, Instruction: Turn left, Distance: 3.7 meters, Time: 2.7 seconds
Name: -, Instruction: Turn right, Distance: 3.3 meters, Time: 2.4 seconds
Name: -, Instruction: Turn right, Distance: 4.3 meters, Time: 3.1 seconds
Name: Rue Bausset, Instruction: Turn left onto Rue Bausset, Distance: 63.8 meters, Time: 45.9 seconds
Name: Rue Gerbert, Instruction: Turn right onto Rue Gerbert, Distance: 24.3 meters, Time: 17.5 seconds
Name: Rue Gerbert, Instruction: Turn slight right onto Rue Gerbert, Distance: 3.9 meters, Time: 2.8 seconds
Name: -, Instruction: Turn left, Distance: 6.3 meters, Time: 4.5 seconds
Name: -, Instruction: Turn right, Distance: 54.1 meters, Time: 39.0 seconds
Name: -, Instruction: Turn slight left, Distance: 3.5 meters, Time: 2.5 seconds
Name: -, Instruction: Keep left, Distance: 85.1 meters, Time: 61.2 seconds
Name: -, Instruction: Turn left, Distance: 7.9 meters, Time: 5.7 seconds
Name: -, Instruction: Turn right, Distance: 9.6 meters, Time: 6.9 seconds
Name: -, Instruction: Turn right, Distance: 30.1 meters, Time: 21.7 seconds
Name: -, Instruction: Turn slight right, Distance: 35.3 meters, Time: 25.4 seconds
Name: -, Instruction: Keep right, Distance: 76.7 meters, Time: 55.2 seconds
Name: -, Instruction: Keep right, Distance: 5.3 meters, Time: 3.8 seconds
Name: -, Instruction: Keep right, Distance: 154.9 meters, Time: 111.5 seconds
Name: -, Instruction: Turn slight left, Distance: 3.7 meters, Time: 2.7 seconds
Name: -, Instruction: Turn slight right, Distance: 99.0 meters, Time: 71.3 seconds
Name: -, Instruction: Turn right, Distance: 7.1 meters, Time: 5.1 seconds
Name: -, Instruction: Keep right, Distance: 80.1 meters, Time: 57.7 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
