Name: Freeland Avenue, Instruction: Head northeast on Freeland Avenue, Distance: 42.1 meters, Time: 30.3 seconds
Name: -, Instruction: Turn left, Distance: 7.9 meters, Time: 5.7 seconds
Name: -, Instruction: Turn slight right, Distance: 137.9 meters, Time: 99.3 seconds
Name: -, Instruction: Keep left, Distance: 101.9 meters, Time: 73.4 seconds
Name: -, Instruction: Turn sharp right, Distance: 13.7 meters, Time: 9.8 seconds
Name: -, Instruction: Turn left, Distance: 270.7 meters, Time: 194.9 seconds
Name: -, Instruction: Turn left, Distance: 18.5 meters, Time: 13.3 seconds
Name: -, Instruction: Turn left, Distance: 8.8 meters, Time: 6.3 seconds
Name: -, Instruction: Keep right, Distance: 385.9 meters, Time: 277.9 seconds
Name: Memorial Avenue, Instruction: Turn right onto Memorial Avenue, Distance: 396.3 meters, Time: 285.4 seconds
Name: Winstone Road, Instruction: Turn left onto Winstone Road, Distance: 56.4 meters, Time: 40.6 seconds
Name: Bremner Avenue, Instruction: Turn right onto Bremner Avenue, Distance: 9.1 meters, Time: 6.5 seconds
Name: -, Instruction: Arrive at Bremner Avenue, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
