Name: Hubbard Boulevard, Instruction: Head east on Hubbard Boulevard, Distance: 6.3 meters, Time: 4.5 seconds
Name: -, Instruction: Turn right, Distance: 6.5 meters, Time: 4.7 seconds
Name: -, Instruction: Turn left, Distance: 78.1 meters, Time: 56.3 seconds
Name: -, Instruction: Turn slight left, Distance: 7.3 meters, Time: 5.2 seconds
Name: -, Instruction: Turn sharp right, Distance: 7.9 meters, Time: 5.7 seconds
Name: -, Instruction: Turn left, Distance: 44.2 meters, Time: 31.8 seconds
Name: Waterfront Recreational Trail, Instruction: Continue straight onto Waterfront Recreational Trail, Distance: 184.3 meters, Time: 132.7 seconds
Name: -, Instruction: Continue straight, Distance: 98.4 meters, Time: 70.8 seconds
Name: -, Instruction: Turn left, Distance: 239.6 meters, Time: 172.5 seconds
Name: -, Instruction: Turn left, Distance: 19.6 meters, Time: 14.1 seconds
Name: -, Instruction: Turn slight right, Distance: 29.5 meters, Time: 21.2 seconds
Name: -, Instruction: Turn right, Distance: 37.9 meters, Time: 27.3 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
