Name: Wharf Road, Instruction: Head west on Wharf Road, Distance: 83.8 meters, Time: 60.3 seconds
Name: The Parade, Instruction: Turn sharp left onto The Parade, Distance: 304.5 meters, Time: 219.3 seconds
Name: -, Instruction: Turn right, Distance: 28.8 meters, Time: 20.8 seconds
Name: -, Instruction: Turn sharp left, Distance: 122.4 meters, Time: 88.1 seconds
Name: -, Instruction: Turn left, Distance: 6.4 meters, Time: 4.6 seconds
Name: The Parade, Instruction: Turn right onto The Parade, Distance: 395.2 meters, Time: 284.6 seconds
Name: The Parade, Instruction: Turn right onto The Parade, Distance: 57.9 meters, Time: 41.7 seconds
Name: -, Instruction: Turn right, Distance: 522.9 meters, Time: 376.5 seconds
Name: Argo Drive, Instruction: Turn left onto Argo Drive, Distance: 52.5 meters, Time: 37.8 seconds
Name: -, Instruction: Turn sharp right, Distance: 13.9 meters, Time: 10.0 seconds
Name: -, Instruction: Turn sharp left, Distance: 145.1 meters, Time: 104.4 seconds
Name: -, Instruction: Turn right, Distance: 156.5 meters, Time: 112.7 seconds
Name: -, Instruction: Turn slight left, Distance: 24.9 meters, Time: 18.0 seconds
Name: -, Instruction: Turn right, Distance: 52.6 meters, Time: 37.9 seconds
Name: -, Instruction: Turn right, Distance: 52.7 meters, Time: 37.9 seconds
Name: -, Instruction: Turn right, Distance: 146.4 meters, Time: 105.4 seconds
Name: -, Instruction: Keep right, Distance: 15.1 meters, Time: 10.9 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
