Name: Locket Road, Instruction: Head southeast on Locket Road, Distance: 65.8 meters, Time: 47.4 seconds
Name: -, Instruction: Turn left, Distance: 253.3 meters, Time: 182.4 seconds
Name: -, Instruction: Keep right, Distance: 21.2 meters, Time: 15.2 seconds
Name: -, Instruction: Turn right, Distance: 4.2 meters, Time: 3.0 seconds
Name: -, Instruction: Keep left, Distance: 95.6 meters, Time: 68.8 seconds
Name: -, Instruction: Turn right, Distance: 85.5 meters, Time: 61.5 seconds
Name: -, Instruction: Turn slight left, Distance: 552.6 meters, Time: 397.9 seconds
Name: -, Instruction: Turn right, Distance: 23.3 meters, Time: 16.8 seconds
Name: -, Instruction: Turn left, Distance: 21.0 meters, Time: 15.1 seconds
Name: -, Instruction: Turn right, Distance: 9.6 meters, Time: 6.9 seconds
Name: -, Instruction: Turn right, Distance: 88.1 meters, Time: 63.4 seconds
Name: -, Instruction: Turn left, Distance: 5.7 meters, Time: 4.1 seconds
Name: -, Instruction: Continue straight, Distance: 562.2 meters, Time: 404.7 seconds
Name: -, Instruction: Turn right, Distance: 15.1 meters, Time: 10.9 seconds
Name: -, Instruction: Turn right, Distance: 596.2 meters, Time: 429.3 seconds
Name: -, Instruction: Turn right, Distance: 15.2 meters, Time: 11.0 seconds
Name: -, Instruction: Turn right, Distance: 25.7 meters, Time: 18.5 seconds
Name: -, Instruction: Turn right, Distance: 3.9 meters, Time: 2.8 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
