Name: Eichenauer Straße, Instruction: Head east on Eichenauer Straße, Distance: 7.6 meters, Time: 5.5 seconds
Name: -, Instruction: Turn right, Distance: 143.2 meters, Time: 103.1 seconds
Name: -, Instruction: Keep left, Distance: 96.8 meters, Time: 69.7 seconds
Name: -, Instruction: Turn slight right, Distance: 48.5 meters, Time: 35.0 seconds
Name: -, Instruction: Turn sharp left, Distance: 606.3 meters, Time: 436.5 seconds
Name: -, Instruction: Turn right, Distance: 13.7 meters, Time: 9.9 seconds
Name: -, Instruction: Turn right, Distance: 4.0 meters, Time: 2.9 seconds
Name: -, Instruction: Turn left, Distance: 115.9 meters, Time: 83.5 seconds
Name: Belandwiesenweg, Instruction: Turn right onto Belandwiesenweg, Distance: 8.1 meters, Time: 5.9 seconds
Name: Georg-Böhmer-Straße, Instruction: Turn left onto Georg-Böhmer-Straße, Distance: 157.6 meters, Time: 113.5 seconds
Name: -, Instruction: Turn sharp right, Distance: 56.8 meters, Time: 40.9 seconds
Name: -, Instruction: Keep left, Distance: 18.8 meters, Time: 13.6 seconds
Name: -, Instruction: Keep left, Distance: 32.2 meters, Time: 23.2 seconds
Name: -, Instruction: Keep left, Distance: 6.4 meters, Time: 4.6 seconds
Name: Colmdorfstraße, Instruction: Turn right onto Colmdorfstraße, Distance: 151.2 meters, Time: 108.9 seconds
Name: Pretzfelder Straße, Instruction: Turn right onto Pretzfelder Straße, Distance: 9.5 meters, Time: 6.9 seconds
Name: Streitbergstraße, Instruction: Turn left onto Streitbergstraße, Distance: 861.3 meters, Time: 620.2 seconds
Name: -, Instruction: Turn right, Distance: 46.9 meters, Time: 33.7 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
