Name: Rua Salvinea, Instruction: Head northeast on Rua Salvinea, Distance: 59.1 meters, Time: 42.6 seconds
Name: Estrada do Quitite, Instruction: Turn right onto Estrada do Quitite, Distance: 119.6 meters, Time: 86.1 seconds
Name: Estrada do Quitite, Instruction: Keep right onto Estrada do Quitite, Distance: 19.2 meters, Time: 13.9 seconds
Name: Estrada do Quitite, Instruction: Turn right onto Estrada do Quitite, Distance: 645.8 meters, Time: 465.0 seconds
Name: Rua Araticum, Instruction: Turn right onto Rua Araticum, Distance: 576.9 meters, Time: 415.4 seconds
Name: -, Instruction: Turn left, Distance: 144.2 meters, Time: 103.8 seconds
Name: Estrada de Jacarepaguá, Instruction: Turn left onto Estrada de Jacarepaguá, Distance: 157.1 meters, Time: 113.1 seconds
Name: -, Instruction: Turn right, Distance: 13.5 meters, Time: 9.7 seconds
Name: Estrada de Jacarepaguá, Instruction: Turn left onto Estrada de Jacarepaguá, Distance: 23.4 meters, Time: 16.9 seconds
Name: Rua Cândido Mota Filho, Instruction: Keep right onto Rua Cândido Mota Filho, Distance: 57.7 meters, Time: 41.6 seconds
Name: -, Instruction: Arrive at Rua Cândido Mota Filho, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
