Name: Rue de Fécamp, Instruction: Head northeast on Rue de Fécamp, Distance: 116.4 meters, Time: 83.8 seconds
Name: Rue de Picpus, Instruction: Continue straight onto Rue de Picpus, Distance: 23.3 meters, Time: 16.8 seconds
Name: Rue de Toul, Instruction: Keep right onto Rue de Toul, Distance: 16.4 meters, Time: 11.8 seconds
Name: -, Instruction: Turn right, Distance: 2.1 meters, Time: 1.5 seconds
Name: -, Instruction: Turn left, Distance: 239.6 meters, Time: 172.5 seconds
Name: -, Instruction: Turn right, Distance: 6.0 meters, Time: 4.3 seconds
Name: -, Instruction: Turn slight right, Distance: 114.4 meters, Time: 82.4 seconds
Name: -, Instruction: Turn left, Distance: 16.7 meters, Time: 12.0 seconds
Name: -, Instruction: Turn right, Distance: 27.0 meters, Time: 19.4 seconds
Name: -, Instruction: Turn right, Distance: 14.0 meters, Time: 10.1 seconds
Name: -, Instruction: Turn right, Distance: 499.1 meters, Time: 359.4 seconds
Name: -, Instruction: Turn left, Distance: 8.6 meters, Time: 6.2 seconds
Name: -, Instruction: Turn right, Distance: 21.7 meters, Time: 15.6 seconds
Name: -, Instruction: Turn slight right, Distance: 10.2 meters, Time: 7.3 seconds
Name: -, Instruction: Turn right, Distance: 9.3 meters, Time: 6.7 seconds
Name: -, Instruction: Turn left, Distance: 252.0 meters, Time: 181.4 seconds
Name: -, Instruction: Turn left, Distance: 9.1 meters, Time: 6.6 seconds
Name: -, Instruction: Turn right, Distance: 68.8 meters, Time: 49.5 seconds
Name: -, Instruction: Turn right, Distance: 19.6 meters, Time: 14.1 seconds
Name: Rue des Pyrénées, Instruction: Turn left onto Rue des Pyrénées, Distance: 23.4 meters, Time: 16.8 seconds
Name: -, Instruction: Turn left, Distance: 3.2 meters, Time: 2.3 seconds
Name: -, Instruction: Turn right, Distance: 111.7 meters, Time: 80.4 seconds
Name: -, Instruction: Turn left, Distance: 4.8 meters, Time: 3.5 seconds
Name: -, Instruction: Turn right, Distance: 17.3 meters, Time: 12.4 seconds
Name: -, Instruction: Turn right, Distance: 5.0 meters, Time: 3.6 seconds
Name: -, Instruction: Turn slight left, Distance: 44.5 meters, Time: 32.1 seconds
Name: Rue Frédéric Loliée, Instruction: Turn right onto Rue Frédéric Loliée, Distance: 10.4 meters, Time: 7.5 seconds
Name: -, Instruction: Arrive at Rue Frédéric Loliée, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
