Name: Schongauerstraße, Instruction: Head north on Schongauerstraße, Distance: 371.6 meters, Time: 267.6 seconds
Name: Florian-Geyer-Straße, Instruction: Turn left onto Florian-Geyer-Straße, Distance: 72.0 meters, Time: 51.8 seconds
Name: -, Instruction: Turn right, Distance: 754.5 meters, Time: 543.3 seconds
Name: -, Instruction: Turn left, Distance: 112.1 meters, Time: 80.7 seconds
Name: Stegener Weg, Instruction: Turn right onto Stegener Weg, Distance: 5.2 meters, Time: 3.8 seconds
Name: Stegener Weg, Instruction: Continue straight onto Stegener Weg, Distance: 79.0 meters, Time: 56.9 seconds
Name: Stegener Weg, Instruction: Turn left onto Stegener Weg, Distance: 18.4 meters, Time: 13.2 seconds
Name: Kärntner Platz, Instruction: Turn slight right onto Kärntner Platz, Distance: 52.8 meters, Time: 38.0 seconds
Name: -, Instruction: Turn left, Distance: 101.6 meters, Time: 73.1 seconds
Name: Rilkestraße, Instruction: Continue straight onto Rilkestraße, Distance: 217.4 meters, Time: 156.5 seconds
Name: Fischartstraße, Instruction: Turn right onto Fischartstraße, Distance: 5.6 meters, Time: 4.1 seconds
Name: -, Instruction: Turn left, Distance: 4.4 meters, Time: 3.2 seconds
Name: -, Instruction: Turn right, Distance: 60.1 meters, Time: 43.2 seconds
Name: Berchemstraße, Instruction: Turn left onto Berchemstraße, Distance: 143.4 meters, Time: 103.2 seconds
Name: -, Instruction: Turn right, Distance: 4.2 meters, Time: 3.0 seconds
Name: -, Instruction: Turn left, Distance: 8.3 meters, Time: 5.9 seconds
Name: -, Instruction: Turn right, Distance: 74.8 meters, Time: 53.9 seconds
Name: -, Instruction: Turn left, Distance: 221.1 meters, Time: 159.2 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
