Name: Rue des Longs-Prés, Instruction: Head north on Rue des Longs-Prés, Distance: 380.3 meters, Time: 273.8 seconds
Name: Rue Marcel Dassault, Instruction: Turn right onto Rue Marcel Dassault, Distance: 9.0 meters, Time: 6.5 seconds
Name: Passage Legrand, Instruction: Turn left onto Passage Legrand, Distance: 4.5 meters, Time: 3.2 seconds
Name: -, Instruction: Turn left, Distance: 180.0 meters, Time: 129.6 seconds
Name: -, Instruction: Turn right, Distance: 39.4 meters, Time: 28.4 seconds
Name: -, Instruction: Turn left, Distance: 8.7 meters, Time: 6.3 seconds
Name: -, Instruction: Turn left, Distance: 14.9 meters, Time: 10.7 seconds
Name: -, Instruction: Turn left, Distance: 188.4 meters, Time: 135.6 seconds
Name: -, Instruction: Turn left, Distance: 3.9 meters, Time: 2.8 seconds
Name: Rue Georges Sorel, Instruction: Turn left onto Rue Georges Sorel, Distance: 14.4 meters, Time: 10.4 seconds
Name: -, Instruction: Turn right, Distance: 5.2 meters, Time: 3.8 seconds
Name: -, Instruction: Turn left, Distance: 19.3 meters, Time: 13.9 seconds
Name: -, Instruction: Keep left, Distance: 3.9 meters, Time: 2.8 seconds
Name: Rue de la Saussière, Instruction: Turn right onto Rue de la Saussière, Distance: 50.4 meters, Time: 36.3 seconds
Name: Rue de la Saussière, Instruction: Continue straight onto Rue de la Saussière, Distance: 63.4 meters, Time: 45.7 seconds
Name: -, Instruction: Turn left, Distance: 18.7 meters, Time: 13.5 seconds
Name: Rue Jules Henripré, Instruction: Turn slight right onto Rue Jules Henripré, Distance: 74.4 meters, Time: 53.6 seconds
Name: Rue Paul Constans, Instruction: Turn right onto Rue Paul Constans, Distance: 36.8 meters, Time: 26.5 seconds
Name: -, Instruction: Arrive at Rue Paul Constans, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
