Name: Stansfield Avenue, Instruction: Head northwest on Stansfield Avenue, Distance: 570.9 meters, Time: 411.1 seconds
Name: -, Instruction: Turn left, Distance: 563.9 meters, Time: 406.0 seconds
Name: -, Instruction: Turn right, Distance: 7.7 meters, Time: 5.5 seconds
Name: North Terrace, Instruction: Turn left onto North Terrace, Distance: 78.7 meters, Time: 56.6 seconds
Name: -, Instruction: Turn right, Distance: 8.1 meters, Time: 5.8 seconds
Name: -, Instruction: Turn left, Distance: 301.6 meters, Time: 217.2 seconds
Name: -, Instruction: Turn left, Distance: 4.0 meters, Time: 2.9 seconds
Name: -, Instruction: Keep right, Distance: 89.8 meters, Time: 64.6 seconds
Name: -, Instruction: Keep right, Distance: 22.8 meters, Time: 16.4 seconds
Name: -, Instruction: Turn left, Distance: 2.6 meters, Time: 1.9 seconds
Name: -, Instruction: Turn right, Distance: 281.3 meters, Time: 202.5 seconds
Name: -, Instruction: Turn right, Distance: 193.3 meters, Time: 139.1 seconds
Name: Gordon Street, Instruction: Turn right onto Gordon Street, Distance: 9.1 meters, Time: 6.5 seconds
Name: -, Instruction: Arrive at Gordon Street, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
