Name: Rupert Gardens, Instruction: Head west on Rupert Gardens, Distance: 31.0 meters, Time: 22.3 seconds
Name: -, Instruction: Turn right, Distance: 55.1 meters, Time: 39.7 seconds
Name: -, Instruction: Turn left, Distance: 64.6 meters, Time: 46.5 seconds
Name: -, Instruction: Turn left, Distance: 26.5 meters, Time: 19.1 seconds
Name: -, Instruction: Turn right, Distance: 88.2 meters, Time: 63.5 seconds
Name: -, Instruction: Turn left, Distance: 13.3 meters, Time: 9.6 seconds
Name: -, Instruction: Turn right, Distance: 11.5 meters, Time: 8.2 seconds
Name: -, Instruction: Turn left, Distance: 40.4 meters, Time: 29.1 seconds
Name: -, Instruction: Continue straight, Distance: 226.0 meters, Time: 162.8 seconds
Name: Marcella Road, Instruction: Turn left onto Marcella Road, Distance: 5.2 meters, Time: 3.7 seconds
Name: Ferrey Mews, Instruction: Turn right onto Ferrey Mews, Distance: 73.5 meters, Time: 53.0 seconds
Name: Overton Road, Instruction: Turn right onto Overton Road, Distance: 37.5 meters, Time: 27.0 seconds
Name: -, Instruction: Turn left, Distance: 25.8 meters, Time: 18.6 seconds
Name: -, Instruction: Turn right, Distance: 114.8 meters, Time: 82.7 seconds
Name: -, Instruction: Turn left, Distance: 18.0 meters, Time: 13.0 seconds
Name: -, Instruction: Turn right, Distance: 24.2 meters, Time: 17.4 seconds
Name: Robsart Street, Instruction: Turn left onto Robsart Street, Distance: 134.1 meters, Time: 96.6 seconds
Name: Ingleborough Street, Instruction: Turn right onto Ingleborough Street, Distance: 3.8 meters, Time: 2.7 seconds
Name: -, Instruction: Turn left, Distance: 385.3 meters, Time: 277.4 seconds
Name: -, Instruction: Turn left, Distance: 12.6 meters, Time: 9.1 seconds
Name: -, Instruction: Turn right, Distance: 85.6 meters, Time: 61.6 seconds
Name: Irving Grove, Instruction: Turn left onto Irving Grove, Distance: 76.0 meters, Time: 54.7 seconds
Name: Eastcote Street, Instruction: Turn right onto Eastcote Street, Distance: 146.5 meters, Time: 105.5 seconds
Name: Lingham Street, Instruction: Turn right onto Lingham Street, Distance: 24.8 meters, Time: 17.8 seconds
Name: -, Instruction: Arrive at Lingham Street, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
