Name: Wendelsteinstraße, Instruction: Head east on Wendelsteinstraße, Distance: 185.3 meters, Time: 133.4 seconds
Name: -, Instruction: Turn sharp right, Distance: 44.1 meters, Time: 31.7 seconds
Name: -, Instruction: Turn left, Distance: 3.9 meters, Time: 2.8 seconds
Name: Alpenstraße, Instruction: Turn right onto Alpenstraße, Distance: 34.8 meters, Time: 25.0 seconds
Name: -, Instruction: Turn left, Distance: 6.2 meters, Time: 4.5 seconds
Name: -, Instruction: Turn right, Distance: 30.9 meters, Time: 22.2 seconds
Name: -, Instruction: Turn right, Distance: 85.4 meters, Time: 61.5 seconds
Name: Innsbrucker Straße, Instruction: Turn sharp left onto Innsbrucker Straße, Distance: 14.2 meters, Time: 10.2 seconds
Name: -, Instruction: Turn right, Distance: 65.8 meters, Time: 47.3 seconds
Name: -, Instruction: Turn left, Distance: 9.6 meters, Time: 6.9 seconds
Name: -, Instruction: Turn right, Distance: 61.1 meters, Time: 44.0 seconds
Name: Brennerstraße, Instruction: Turn right onto Brennerstraße, Distance: 5.7 meters, Time: 4.1 seconds
Name: -, Instruction: Turn left, Distance: 31.4 meters, Time: 22.6 seconds
Name: -, Instruction: Turn right, Distance: 32.2 meters, Time: 23.2 seconds
Name: -, Instruction: Turn left, Distance: 149.0 meters, Time: 107.3 seconds
Name: Hans-Sachs-Straße, Instruction: Turn sharp right onto Hans-Sachs-Straße, Distance: 28.8 meters, Time: 20.7 seconds
Name: -, Instruction: Turn left, Distance: 11.9 meters, Time: 8.6 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
