Name: Avenue Sainte-Marie, Instruction: Head northeast on Avenue Sainte-Marie, Distance: 176.4 meters, Time: 127.0 seconds
Name: Avenue de la Pelouse, Instruction: Keep left onto Avenue de la Pelouse, Distance: 39.9 meters, Time: 28.7 seconds
Name: Chaussée de l'Étang, Instruction: Turn slight left onto Chaussée de l'Étang, Distance: 2.9 meters, Time: 2.1 seconds
Name: -, Instruction: Turn right, Distance: 5.6 meters, Time: 4.0 seconds
Name: -, Instruction: Turn left, Distance: 3.6 meters, Time: 2.6 seconds
Name: -, Instruction: Turn right, Distance: 306.0 meters, Time: 220.3 seconds
Name: -, Instruction: Keep right, Distance: 144.1 meters, Time: 103.8 seconds
Name: -, Instruction: Keep right, Distance: 43.7 meters, Time: 31.5 seconds
Name: -, Instruction: Turn slight left, Distance: 231.4 meters, Time: 166.6 seconds
Name: -, Instruction: Keep right, Distance: 265.7 meters, Time: 191.3 seconds
Name: -, Instruction: Continue straight, Distance: 3.3 meters, Time: 2.4 seconds
Name: -, Instruction: Turn left, Distance: 47.5 meters, Time: 34.2 seconds
Name: -, Instruction: Turn right, Distance: 218.2 meters, Time: 157.1 seconds
Name: -, Instruction: Turn left, Distance: 14.0 meters, Time: 10.1 seconds
Name: -, Instruction: Turn right, Distance: 85.1 meters, Time: 61.2 seconds
Name: -, Instruction: Keep left, Distance: 123.5 meters, Time: 88.9 seconds
Name: -, Instruction: Turn left, Distance: 12.2 meters, Time: 8.8 seconds
Name: -, Instruction: Arrive at your destination, on the left, Distance: 0.0 meters, Time: 0.0 seconds
