Name: South Pitkin Street, Instruction: Head southeast on South Pitkin Street, Distance: 41.3 meters, Time: 29.7 seconds
Name: East Asbury Avenue, Instruction: Turn right onto East Asbury Avenue, Distance: 96.4 meters, Time: 69.4 seconds
Name: South Pagosa Street, Instruction: Turn left onto South Pagosa Street, Distance: 312.3 meters, Time: 224.8 seconds
Name: East Evans Avenue, Instruction: Turn right onto East Evans Avenue, Distance: 124.9 meters, Time: 90.0 seconds
Name: South Ouray Street, Instruction: Turn left onto South Ouray Street, Distance: 192.2 meters, Time: 138.4 seconds
Name: Toll Gate Creek Trail, Instruction: Turn left onto Toll Gate Creek Trail, Distance: 40.8 meters, Time: 29.4 seconds
Name: -, Instruction: Turn right, Distance: 260.5 meters, Time: 187.6 seconds
Name: -, Instruction: Turn slight right, Distance: 182.3 meters, Time: 131.2 seconds
Name: -, Instruction: Turn left, Distance: 117.9 meters, Time: 84.9 seconds
Name: -, Instruction: Turn slight left, Distance: 12.1 meters, Time: 8.7 seconds
Name: -, Instruction: Turn right, Distance: 47.8 meters, Time: 34.4 seconds
Name: -, Instruction: Turn left, Distance: 127.1 meters, Time: 91.5 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
