Name: Pukerangi Crescent, Instruction: Head west on Pukerangi Crescent, Distance: 198.9 meters, Time: 143.2 seconds
Name: Ladies Mile, Instruction: Turn sharp right onto Ladies Mile, Distance: 38.4 meters, Time: 27.6 seconds
Name: Morrin Street, Instruction: Turn left onto Morrin Street, Distance: 718.5 meters, Time: 517.3 seconds
Name: Mitchelson Street, Instruction: Turn right onto Mitchelson Street, Distance: 232.6 meters, Time: 167.4 seconds
Name: -, Instruction: Turn sharp right, Distance: 34.7 meters, Time: 25.0 seconds
Name: -, Instruction: Turn left, Distance: 145.6 meters, Time: 104.8 seconds
Name: -, Instruction: Keep right, Distance: 181.4 meters, Time: 130.6 seconds
Name: Ascot Avenue, Instruction: Turn right onto Ascot Avenue, Distance: 78.9 meters, Time: 56.8 seconds
Name: Ascot Avenue, Instruction: Keep left onto Ascot Avenue, Distance: 20.9 meters, Time: 15.0 seconds
Name: Ellerslie Racecourse Drive, Instruction: Enter the roundabout and take the 1st exit onto Ellerslie Racecourse Drive, Distance: 57.4 meters, Time: 41.3 seconds
Name: Ellerslie Racecourse Drive, Instruction: Keep left onto Ellerslie Racecourse Drive, Distance: 49.0 meters, Time: 35.3 seconds
Name: Green Shared Path East, Instruction: Turn left onto Green Shared Path East, Distance: 4.9 meters, Time: 3.5 seconds
Name: -, Instruction: Turn right, Distance: 20.4 meters, Time: 14.7 seconds
Name: -, Instruction: Turn left, Distance: 36.6 meters, Time: 26.3 seconds
Name: -, Instruction: Turn left, Distance: 3.7 meters, Time: 2.7 seconds
Name: Ohinerau Street, Instruction: Turn right onto Ohinerau Street, Distance: 214.1 meters, Time: 154.2 seconds
Name: -, Instruction: Turn left, Distance: 6.4 meters, Time: 4.6 seconds
Name: -, Instruction: Turn right, Distance: 174.3 meters, Time: 125.5 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
