Name: Place de Jérusalem, Instruction: Head northwest on Place de Jérusalem, Distance: 327.8 meters, Time: 236.0 seconds
Name: Rue du Président Wilson, Instruction: Continue straight onto Rue du Président Wilson, Distance: 12.2 meters, Time: 8.8 seconds
Name: -, Instruction: Turn left, Distance: 6.4 meters, Time: 4.6 seconds
Name: -, Instruction: Turn right, Distance: 73.0 meters, Time: 52.5 seconds
Name: -, Instruction: Turn right, Distance: 11.0 meters, Time: 8.0 seconds
Name: -, Instruction: Turn right, Distance: 202.3 meters, Time: 145.6 seconds
Name: -, Instruction: Turn left, Distance: 1.4 meters, Time: 1.0 seconds
Name: -, Instruction: Turn right, Distance: 10.1 meters, Time: 7.3 seconds
Name: -, Instruction: Turn slight right, Distance: 1.9 meters, Time: 1.4 seconds
Name: -, Instruction: Turn slight left, Distance: 90.7 meters, Time: 65.3 seconds
Name: -, Instruction: Turn left, Distance: 1.1 meters, Time: 0.8 seconds
Name: -, Instruction: Turn right, Distance: 10.4 meters, Time: 7.5 seconds
Name: -, Instruction: Turn slight right, Distance: 1.7 meters, Time: 1.2 seconds
Name: -, Instruction: Keep left, Distance: 106.2 meters, Time: 76.5 seconds
Name: -, Instruction: Turn slight left, Distance: 1.1 meters, Time: 0.8 seconds
Name: -, Instruction: Turn slight right, Distance: 10.1 meters, Time: 7.3 seconds
Name: -, Instruction: Turn slight right, Distance: 6.2 meters, Time: 4.4 seconds
Name: Rue du Président Wilson, Instruction: Turn left onto Rue du Président Wilson, Distance: 156.7 meters, Time: 112.8 seconds
Name: -, Instruction: Turn left, Distance: 45.9 meters, Time: 33.0 seconds
Name: -, Instruction: Turn slight right, Distance: 21.8 meters, Time: 15.7 seconds
Name: -, Instruction: Keep left, Distance: 18.6 meters, Time: 13.4 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
