Name: Rupert Gardens, Instruction: Head west on Rupert Gardens, Distance: 89.8 meters, Time: 64.7 seconds
Name: -, Instruction: Turn right, Distance: 29.7 meters, Time: 21.4 seconds
Name: -, Instruction: Turn left, Distance: 89.1 meters, Time: 64.2 seconds
Name: -, Instruction: Turn right, Distance: 14.4 meters, Time: 10.4 seconds
Name: -, Instruction: Turn left, Distance: 43.9 meters, Time: 31.6 seconds
Name: Barrington Road, Instruction: Turn right onto Barrington Road, Distance: 427.4 meters, Time: 307.7 seconds
Name: -, Instruction: Turn right, Distance: 96.0 meters, Time: 69.1 seconds
Name: -, Instruction: Turn right, Distance: 12.7 meters, Time: 9.2 seconds
Name: -, Instruction: Turn left, Distance: 29.9 meters, Time: 21.5 seconds
Name: -, Instruction: Turn right, Distance: 161.4 meters, Time: 116.2 seconds
Name: -, Instruction: Turn left, Distance: 63.0 meters, Time: 45.3 seconds
Name: -, Instruction: Turn left, Distance: 4.9 meters, Time: 3.5 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
