Name: شارع اسماعيل, Instruction: Head east on شارع اسماعيل, Distance: 16.0 meters, Time: 11.5 seconds
Name: شارع المغرية, Instruction: Turn right onto شارع المغرية, Distance: 94.3 meters, Time: 67.9 seconds
Name: شارع حافظ, Instruction: Turn right onto شارع حافظ, Distance: 47.4 meters, Time: 34.1 seconds
Name: شارع حافظ, Instruction: Turn slight left onto شارع حافظ, Distance: 37.2 meters, Time: 26.8 seconds
Name: -, Instruction: Turn sharp right, Distance: 201.0 meters, Time: 144.7 seconds
Name: شارع بن الفارض, Instruction: Turn right onto شارع بن الفارض, Distance: 93.5 meters, Time: 67.4 seconds
Name: شارع الفارسى, Instruction: Turn left onto شارع الفارسى, Distance: 369.5 meters, Time: 266.0 seconds
Name: شارع ابراهيم سالم, Instruction: Turn left onto شارع ابراهيم سالم, Distance: 283.7 meters, Time: 204.3 seconds
Name: حارة احمد حجازى, Instruction: Turn right onto حارة احمد حجازى, Distance: 26.2 meters, Time: 18.9 seconds
Name: حارة بدوي افندي, Instruction: Turn right onto حارة بدوي افندي, Distance: 12.6 meters, Time: 9.1 seconds
Name: حارة الاسيوطي, Instruction: Turn left onto حارة الاسيوطي, Distance: 103.1 meters, Time: 74.2 seconds
Name: -, Instruction: Turn right, Distance: 47.4 meters, Time: 34.1 seconds
Name: شارع الامام الشافعي, Instruction: Turn left onto شارع الامام الشافعي, Distance: 60.4 meters, Time: 43.5 seconds
Name: شارع مقاابر الامامين, Instruction: Turn right onto شارع مقاابر الامامين, Distance: 165.6 meters, Time: 119.2 seconds
Name: شارع الامام الليثي, Instruction: Turn left onto شارع الامام الليثي, Distance: 55.0 meters, Time: 39.6 seconds
Name: -, Instruction: Turn sharp right, Distance: 64.0 meters, Time: 46.1 seconds
Name: شارع الغفاري, Instruction: Continue straight onto شارع الغفاري, Distance: 247.7 meters, Time: 178.3 seconds
Name: شارع عين الصيره, Instruction: Turn left onto شارع عين الصيره, Distance: 60.2 meters, Time: 43.4 seconds
Name: -, Instruction: Turn right, Distance: 62.1 meters, Time: 44.7 seconds
Name: شارع الفسطاط, Instruction: Turn sharp left onto شارع الفسطاط, Distance: 58.9 meters, Time: 42.4 seconds
Name: -, Instruction: Keep right, Distance: 21.7 meters, Time: 15.6 seconds
Name: -, Instruction: Turn right, Distance: 14.1 meters, Time: 10.2 seconds
Name: -, Instruction: Continue straight, Distance: 41.2 meters, Time: 29.6 seconds
Name: -, Instruction: Turn left, Distance: 203.7 meters, Time: 146.7 seconds
Name: -, Instruction: Turn right, Distance: 117.3 meters, Time: 84.4 seconds
Name: -, Instruction: Turn right, Distance: 48.3 meters, Time: 34.8 seconds
Name: -, Instruction: Turn left, Distance: 15.5 meters, Time: 11.2 seconds
Name: -, Instruction: Keep right, Distance: 13.1 meters, Time: 9.4 seconds
Name: -, Instruction: Turn right, Distance: 11.3 meters, Time: 8.1 seconds
Name: -, Instruction: Turn left, Distance: 3.5 meters, Time: 2.5 seconds
Name: -, Instruction: Continue straight, Distance: 56.3 meters, Time: 40.5 seconds
Name: -, Instruction: Continue straight, Distance: 9.2 meters, Time: 6.6 seconds
Name: -, Instruction: Turn slight right, Distance: 42.1 meters, Time: 30.3 seconds
Name: -, Instruction: Turn right, Distance: 32.2 meters, Time: 23.2 seconds
Name: -, Instruction: Turn right, Distance: 26.9 meters, Time: 19.4 seconds
Name: -, Instruction: Turn left, Distance: 19.4 meters, Time: 14.0 seconds
Name: -, Instruction: Turn right, Distance: 6.7 meters, Time: 4.8 seconds
Name: -, Instruction: Turn left, Distance: 17.0 meters, Time: 12.2 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
