Name: Edensmith Lane, Instruction: Head south on Edensmith Lane, Distance: 2.9 meters, Time: 2.1 seconds
Name: -, Instruction: Turn right, Distance: 190.7 meters, Time: 137.3 seconds
Name: -, Instruction: Turn left, Distance: 1.8 meters, Time: 1.3 seconds
Name: -, Instruction: Turn right, Distance: 13.3 meters, Time: 9.6 seconds
Name: -, Instruction: Turn right, Distance: 1.9 meters, Time: 1.4 seconds
Name: -, Instruction: Turn left, Distance: 148.5 meters, Time: 106.9 seconds
Name: -, Instruction: Turn slight left, Distance: 1.6 meters, Time: 1.2 seconds
Name: -, Instruction: Turn slight right, Distance: 9.8 meters, Time: 7.1 seconds
Name: -, Instruction: Turn slight right, Distance: 2.0 meters, Time: 1.4 seconds
Name: -, Instruction: Turn slight left, Distance: 351.4 meters, Time: 253.0 seconds
Name: -, Instruction: Turn right, Distance: 77.0 meters, Time: 55.4 seconds
Name: -, Instruction: Turn slight left, Distance: 34.4 meters, Time: 24.8 seconds
Name: -, Instruction: Turn left, Distance: 45.5 meters, Time: 32.8 seconds
Name: -, Instruction: Turn right, Distance: 62.2 meters, Time: 44.8 seconds
Name: -, Instruction: Turn left, Distance: 15.5 meters, Time: 11.2 seconds
Name: -, Instruction: Turn left, Distance: 25.4 meters, Time: 18.3 seconds
Name: -, Instruction: Turn right, Distance: 41.7 meters, Time: 30.0 seconds
Name: -, Instruction: Turn right, Distance: 17.4 meters, Time: 12.6 seconds
Name: -, Instruction: Turn left, Distance: 7.8 meters, Time: 5.6 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
