Name: New Church Street, Instruction: Head northeast on New Church Street, Distance: 311.0 meters, Time: 223.9 seconds
Name: Bloem Street, Instruction: Turn right onto Bloem Street, Distance: 48.7 meters, Time: 35.1 seconds
Name: Bree Street, Instruction: Turn left onto Bree Street, Distance: 302.0 meters, Time: 217.4 seconds
Name: -, Instruction: Turn right, Distance: 170.5 meters, Time: 122.7 seconds
Name: -, Instruction: Turn right, Distance: 234.3 meters, Time: 168.7 seconds
Name: Parliament Lane, Instruction: Continue straight onto Parliament Lane, Distance: 8.7 meters, Time: 6.3 seconds
Name: -, Instruction: Keep left, Distance: 172.0 meters, Time: 123.8 seconds
Name: Longmarket Street, Instruction: Turn right onto Longmarket Street, Distance: 637.8 meters, Time: 459.2 seconds
Name: -, Instruction: Continue straight, Distance: 5.2 meters, Time: 3.8 seconds
Name: -, Instruction: Turn left, Distance: 152.3 meters, Time: 109.7 seconds
Name: -, Instruction: Turn left, Distance: 1.2 meters, Time: 0.9 seconds
Name: -, Instruction: Turn right, Distance: 182.0 meters, Time: 131.1 seconds
Name: -, Instruction: Turn left, Distance: 26.3 meters, Time: 19.0 seconds
Name: -, Instruction: Turn slight right, Distance: 34.4 meters, Time: 24.7 seconds
Name: -, Instruction: Turn sharp left, Distance: 60.3 meters, Time: 43.4 seconds
Name: Sydney Street, Instruction: Turn right onto Sydney Street, Distance: 95.2 meters, Time: 68.5 seconds
Name: Sydney Street, Instruction: Turn slight left onto Sydney Street, Distance: 35.5 meters, Time: 25.6 seconds
Name: -, Instruction: Arrive at Sydney Street, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
