Name: Spinella Drive, Instruction: Head north on Spinella Drive, Distance: 458.7 meters, Time: 330.2 seconds
Name: -, Instruction: Turn left, Distance: 5.8 meters, Time: 4.2 seconds
Name: -, Instruction: Turn right, Distance: 187.7 meters, Time: 135.2 seconds
Name: -, Instruction: Keep right, Distance: 283.2 meters, Time: 203.9 seconds
Name: -, Instruction: Keep left, Distance: 94.7 meters, Time: 68.2 seconds
Name: -, Instruction: Turn sharp right, Distance: 31.0 meters, Time: 22.3 seconds
Name: -, Instruction: Turn slight right, Distance: 9.4 meters, Time: 6.8 seconds
Name: -, Instruction: Turn left, Distance: 213.1 meters, Time: 153.4 seconds
Name: -, Instruction: Keep left, Distance: 15.8 meters, Time: 11.4 seconds
Name: -, Instruction: Turn slight left, Distance: 426.5 meters, Time: 307.1 seconds
Name: -, Instruction: Turn right, Distance: 23.2 meters, Time: 16.7 seconds
Name: -, Instruction: Turn left, Distance: 6.8 meters, Time: 4.9 seconds
Name: Target Road, Instruction: Turn right onto Target Road, Distance: 12.8 meters, Time: 9.2 seconds
Name: -, Instruction: Arrive at Target Road, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
