Name: Cleveland Street, Instruction: Head north on Cleveland Street, Distance: 153.2 meters, Time: 110.3 seconds
Name: -, Instruction: Turn right, Distance: 6.9 meters, Time: 5.0 seconds
Name: -, Instruction: Turn left, Distance: 6.5 meters, Time: 4.7 seconds
Name: Millwood Road, Instruction: Turn right onto Millwood Road, Distance: 234.6 meters, Time: 168.9 seconds
Name: -, Instruction: Turn left, Distance: 5.2 meters, Time: 3.8 seconds
Name: -, Instruction: Turn right, Distance: 142.2 meters, Time: 102.4 seconds
Name: -, Instruction: Keep right, Distance: 76.6 meters, Time: 55.1 seconds
Name: -, Instruction: Keep right, Distance: 372.0 meters, Time: 267.8 seconds
Name: -, Instruction: Turn sharp left, Distance: 88.4 meters, Time: 63.7 seconds
Name: -, Instruction: Turn right, Distance: 88.0 meters, Time: 63.4 seconds
Name: -, Instruction: Turn left, Distance: 3.0 meters, Time: 2.1 seconds
Name: -, Instruction: Turn right, Distance: 6.5 meters, Time: 4.6 seconds
Name: Rumsey Road, Instruction: Turn left onto Rumsey Road, Distance: 5.1 meters, Time: 3.7 seconds
Name: -, Instruction: Arrive at Rumsey Road, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
