Name: New Barn Street, Instruction: Head north on New Barn Street, Distance: 206.1 meters, Time: 148.4 seconds
Name: Adine Road, Instruction: Turn right onto Adine Road, Distance: 162.7 meters, Time: 117.1 seconds
Name: -, Instruction: Turn right, Distance: 353.0 meters, Time: 254.2 seconds
Name: -, Instruction: Turn left, Distance: 12.4 meters, Time: 8.9 seconds
Name: -, Instruction: Turn right, Distance: 185.0 meters, Time: 133.2 seconds
Name: -, Instruction: Turn right, Distance: 93.5 meters, Time: 67.3 seconds
Name: Hollybush Street, Instruction: Turn right onto Hollybush Street, Distance: 103.4 meters, Time: 74.4 seconds
Name: Cave Road, Instruction: Turn left onto Cave Road, Distance: 167.4 meters, Time: 120.5 seconds
Name: -, Instruction: Turn left, Distance: 99.2 meters, Time: 71.4 seconds
Name: -, Instruction: Turn right, Distance: 46.3 meters, Time: 33.3 seconds
Name: Edinburgh Court, Instruction: Turn left onto Edinburgh Court, Distance: 9.2 meters, Time: 6.6 seconds
Name: Edinburgh Road, Instruction: Keep right onto Edinburgh Road, Distance: 106.2 meters, Time: 76.4 seconds
Name: -, Instruction: Arrive at Edinburgh Road, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
