Name: West Belt Line Trail, Instruction: Head west on West Belt Line Trail, Distance: 412.7 meters, Time: 297.1 seconds
Name: -, Instruction: Turn left, Distance: 94.5 meters, Time: 68.0 seconds
Name: -, Instruction: Turn left, Distance: 0.7 meters, Time: 0.5 seconds
Name: -, Instruction: Turn slight left, Distance: 20.7 meters, Time: 14.9 seconds
Name: -, Instruction: Turn slight left, Distance: 1.3 meters, Time: 1.0 seconds
Name: -, Instruction: Turn right, Distance: 395.4 meters, Time: 284.7 seconds
Name: -, Instruction: Turn right, Distance: 13.5 meters, Time: 9.7 seconds
Name: -, Instruction: Turn slight right, Distance: 966.1 meters, Time: 695.6 seconds
Name: -, Instruction: Turn right, Distance: 20.3 meters, Time: 14.6 seconds
Name: -, Instruction: Turn left, Distance: 3.8 meters, Time: 2.7 seconds
Name: -, Instruction: Turn left, Distance: 26.5 meters, Time: 19.1 seconds
Name: -, Instruction: Turn sharp right, Distance: 46.1 meters, Time: 33.2 seconds
Name: -, Instruction: Turn left, Distance: 23.4 meters, Time: 16.8 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
