Name: Prolongación Tlahuicas, Instruction: Head southwest on Prolongación Tlahuicas, Distance: 126.7 meters, Time: 91.2 seconds
Name: Calle Plaza Chichén Itzá, Instruction: Turn left onto Calle Plaza Chichén Itzá, Distance: 144.1 meters, Time: 103.8 seconds
Name: Plaza Chichen Itzá, Instruction: Turn slight left onto Plaza Chichen Itzá, Distance: 7.8 meters, Time: 5.6 seconds
Name: Plaza Chichen Itzá, Instruction: Turn slight left onto Plaza Chichen Itzá, Distance: 45.9 meters, Time: 33.0 seconds
Name: Avenida Carlota Armero, EJE 3 OTE, Instruction: Turn left onto Avenida Carlota Armero, EJE 3 OTE, Distance: 4.2 meters, Time: 3.0 seconds
Name: -, Instruction: Turn right, Distance: 155.5 meters, Time: 112.0 seconds
Name: -, Instruction: Turn left, Distance: 22.2 meters, Time: 15.9 seconds
Name: -, Instruction: Turn right, Distance: 26.5 meters, Time: 19.1 seconds
Name: -, Instruction: Turn left, Distance: 8.7 meters, Time: 6.2 seconds
Name: -, Instruction: Turn right, Distance: 72.9 meters, Time: 52.5 seconds
Name: -, Instruction: Turn left, Distance: 111.2 meters, Time: 80.1 seconds
Name: Canal Nacional, Instruction: Turn sharp right onto Canal Nacional, Distance: 962.6 meters, Time: 693.1 seconds
Name: -, Instruction: Turn right, Distance: 73.5 meters, Time: 52.9 seconds
Name: -, Instruction: Turn right, Distance: 11.0 meters, Time: 7.9 seconds
Name: -, Instruction: Turn slight right, Distance: 78.7 meters, Time: 56.7 seconds
Name: -, Instruction: Turn right, Distance: 28.2 meters, Time: 20.3 seconds
Name: Avenida Canal Nacional, Instruction: Turn slight left onto Avenida Canal Nacional, Distance: 22.3 meters, Time: 16.1 seconds
Name: Avenida Canal Nacional, Instruction: Turn slight left onto Avenida Canal Nacional, Distance: 308.1 meters, Time: 221.9 seconds
Name: Avenida Canal Nacional, Instruction: Keep right onto Avenida Canal Nacional, Distance: 107.4 meters, Time: 77.3 seconds
Name: -, Instruction: Arrive at Avenida Canal Nacional, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
