Name: Avenida Imperatriz Leopoldina, Instruction: Head south on Avenida Imperatriz Leopoldina, Distance: 308.5 meters, Time: 222.1 seconds
Name: Avenida José Wilker, Instruction: Keep left onto Avenida José Wilker, Distance: 24.1 meters, Time: 17.3 seconds
Name: -, Instruction: Turn left, Distance: 67.0 meters, Time: 48.3 seconds
Name: -, Instruction: Turn right, Distance: 16.6 meters, Time: 12.0 seconds
Name: Avenida Pedro Solberg, Instruction: Turn right onto Avenida Pedro Solberg, Distance: 25.5 meters, Time: 18.3 seconds
Name: Avenida José Wilker, Instruction: Enter the roundabout and take the 2nd exit onto Avenida José Wilker, Distance: 49.2 meters, Time: 35.4 seconds
Name: -, Instruction: Turn right, Distance: 19.2 meters, Time: 13.8 seconds
Name: Avenida José Wilker, Instruction: Turn left onto Avenida José Wilker, Distance: 258.7 meters, Time: 186.2 seconds
Name: Avenida Ricardo Eugênio Boechat, Instruction: Enter the roundabout and take the 1st exit onto Avenida Ricardo Eugênio Boechat, Distance: 49.0 meters, Time: 35.3 seconds
Name: -, Instruction: Turn right, Distance: 384.3 meters, Time: 276.7 seconds
Name: -, Instruction: Turn right, Distance: 43.3 meters, Time: 31.2 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
