Name: 豊島園通り, Instruction: Head southwest on 豊島園通り, Distance: 52.7 meters, Time: 38.0 seconds
Name: -, Instruction: Keep left, Distance: 272.8 meters, Time: 196.4 seconds
Name: -, Instruction: Turn right, Distance: 88.8 meters, Time: 63.9 seconds
Name: -, Instruction: Turn right, Distance: 16.6 meters, Time: 11.9 seconds
Name: -, Instruction: Turn right, Distance: 6.5 meters, Time: 4.7 seconds
Name: -, Instruction: Turn left, Distance: 155.4 meters, Time: 111.9 seconds
Name: -, Instruction: Keep right, Distance: 33.2 meters, Time: 23.9 seconds
Name: -, Instruction: Turn left, Distance: 40.1 meters, Time: 28.9 seconds
Name: -, Instruction: Continue straight, Distance: 17.2 meters, Time: 12.4 seconds
Name: -, Instruction: Turn left, Distance: 119.0 meters, Time: 85.7 seconds
Name: -, Instruction: Turn right, Distance: 96.8 meters, Time: 69.7 seconds
Name: -, Instruction: Turn left, Distance: 215.9 meters, Time: 155.4 seconds
Name: -, Instruction: Keep right, Distance: 64.7 meters, Time: 46.6 seconds
Name: -, Instruction: Turn left, Distance: 6.9 meters, Time: 5.0 seconds
Name: -, Instruction: Turn right, Distance: 138.0 meters, Time: 99.4 seconds
Name: -, Instruction: Turn left, Distance: 40.2 meters, Time: 28.9 seconds
Name: -, Instruction: Turn right, Distance: 25.6 meters, Time: 18.4 seconds
Name: -, Instruction: Turn left, Distance: 58.8 meters, Time: 42.3 seconds
Name: -, Instruction: Turn slight right, Distance: 11.7 meters, Time: 8.4 seconds
Name: -, Instruction: Turn left, Distance: 15.7 meters, Time: 11.3 seconds
Name: -, Instruction: Turn right, Distance: 147.0 meters, Time: 105.8 seconds
Name: -, Instruction: Turn right, Distance: 131.8 meters, Time: 94.9 seconds
Name: -, Instruction: Turn right, Distance: 61.5 meters, Time: 44.3 seconds
Name: -, Instruction: Turn left, Distance: 2.2 meters, Time: 1.6 seconds
Name: -, Instruction: Turn right, Distance: 28.5 meters, Time: 20.6 seconds
Name: -, Instruction: Turn left, Distance: 16.5 meters, Time: 11.9 seconds
Name: -, Instruction: Turn right, Distance: 114.1 meters, Time: 82.1 seconds
Name: -, Instruction: Turn right, Distance: 18.8 meters, Time: 13.5 seconds
Name: -, Instruction: Turn left, Distance: 70.7 meters, Time: 50.9 seconds
Name: -, Instruction: Turn right, Distance: 38.9 meters, Time: 28.0 seconds
Name: -, Instruction: Turn left, Distance: 16.5 meters, Time: 11.9 seconds
Name: -, Instruction: Turn right, Distance: 9.7 meters, Time: 7.0 seconds
Name: -, Instruction: Turn sharp left, Distance: 53.5 meters, Time: 38.5 seconds
Name: -, Instruction: Turn sharp right, Distance: 113.6 meters, Time: 81.8 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
