Name: Harris Street, Instruction: Head north on Harris Street, Distance: 10.2 meters, Time: 7.3 seconds
Name: -, Instruction: Turn right, Distance: 6.5 meters, Time: 4.6 seconds
Name: -, Instruction: Turn left, Distance: 79.6 meters, Time: 57.3 seconds
Name: Weston Street, Instruction: Turn right onto Weston Street, Distance: 255.3 meters, Time: 183.8 seconds
Name: Good Street, Instruction: Enter the roundabout and take the 1st exit onto Good Street, Distance: 124.3 meters, Time: 89.5 seconds
Name: Alice Street, Instruction: Turn right onto Alice Street, Distance: 225.5 meters, Time: 162.3 seconds
Name: -, Instruction: Turn left, Distance: 8.7 meters, Time: 6.2 seconds
Name: -, Instruction: Turn right, Distance: 8.2 meters, Time: 5.9 seconds
Name: -, Instruction: Keep right, Distance: 17.7 meters, Time: 12.7 seconds
Name: -, Instruction: Turn left, Distance: 99.1 meters, Time: 71.4 seconds
Name: -, Instruction: Continue straight, Distance: 69.3 meters, Time: 49.9 seconds
Name: Oak Street, Instruction: Turn right onto Oak Street, Distance: 379.7 meters, Time: 273.4 seconds
Name: Oak Street, Instruction: Continue straight onto Oak Street, Distance: 143.4 meters, Time: 103.3 seconds
Name: -, Instruction: Turn right, Distance: 6.2 meters, Time: 4.5 seconds
Name: -, Instruction: Turn left, Distance: 45.2 meters, Time: 32.5 seconds
Name: -, Instruction: Turn right, Distance: 57.1 meters, Time: 41.1 seconds
Name: -, Instruction: Enter the roundabout and take the 2nd exit, Distance: 56.7 meters, Time: 40.8 seconds
Name: -, Instruction: Turn right, Distance: 21.4 meters, Time: 15.4 seconds
Name: -, Instruction: Turn right, Distance: 152.8 meters, Time: 110.0 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
