Name: Eaton Centre Urban Eatery Level, Instruction: Head north on Eaton Centre Urban Eatery Level, Distance: 12.8 meters, Time: 9.2 seconds
Name: Eaton Centre level 1, Instruction: Turn slight left onto Eaton Centre level 1, Distance: 9.6 meters, Time: 6.9 seconds
Name: Escalator from Eaton Centre level 1 to 2, Instruction: Keep right onto Escalator from Eaton Centre level 1 to 2, Distance: 11.9 meters, Time: 8.6 seconds
Name: Eaton Centre level 2, Instruction: Turn sharp right onto Eaton Centre level 2, Distance: 11.6 meters, Time: 8.4 seconds
Name: Escalator from Eaton Centre level 2 to 3, Instruction: Turn sharp left onto Escalator from Eaton Centre level 2 to 3, Distance: 11.8 meters, Time: 8.5 seconds
Name: Eaton Centre level 3, Instruction: Continue straight onto Eaton Centre level 3, Distance: 21.6 meters, Time: 15.6 seconds
Name: -, Instruction: Turn left, Distance: 31.7 meters, Time: 22.9 seconds
Name: -, Instruction: Turn right, Distance: 15.1 meters, Time: 10.9 seconds
Name: -, Instruction: Keep right, Distance: 13.1 meters, Time: 9.4 seconds
Name: -, Instruction: Turn right, Distance: 112.0 meters, Time: 80.6 seconds
Name: -, Instruction: Keep left, Distance: 187.1 meters, Time: 134.7 seconds
Name: -, Instruction: Keep right, Distance: 443.0 meters, Time: 319.0 seconds
Name: -, Instruction: Keep left, Distance: 254.8 meters, Time: 183.5 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
