Name: Lambrown Drive, Instruction: Head west on Lambrown Drive, Distance: 46.4 meters, Time: 33.4 seconds
Name: -, Instruction: Turn right, Distance: 6.1 meters, Time: 4.4 seconds
Name: -, Instruction: Turn sharp left, Distance: 3.5 meters, Time: 2.5 seconds
Name: -, Instruction: Turn right, Distance: 115.4 meters, Time: 83.1 seconds
Name: Leiden Place, Instruction: Turn left onto Leiden Place, Distance: 119.4 meters, Time: 86.0 seconds
Name: -, Instruction: Turn right, Distance: 5.4 meters, Time: 3.9 seconds
Name: -, Instruction: Turn left, Distance: 48.6 meters, Time: 35.0 seconds
Name: -, Instruction: Turn slight right, Distance: 87.3 meters, Time: 62.9 seconds
Name: -, Instruction: Turn left, Distance: 12.4 meters, Time: 8.9 seconds
Name: -, Instruction: Turn right, Distance: 6.4 meters, Time: 4.6 seconds
Name: -, Instruction: Keep left, Distance: 170.6 meters, Time: 122.9 seconds
Name: -, Instruction: Turn left, Distance: 101.4 meters, Time: 73.0 seconds
Name: -, Instruction: Turn right, Distance: 341.7 meters, Time: 246.0 seconds
Name: -, Instruction: Turn left, Distance: 24.0 meters, Time: 17.2 seconds
Name: -, Instruction: Turn right, Distance: 14.4 meters, Time: 10.4 seconds
Name: -, Instruction: Turn left, Distance: 85.8 meters, Time: 61.8 seconds
Name: -, Instruction: Keep left, Distance: 232.9 meters, Time: 167.7 seconds
Name: -, Instruction: Turn left, Distance: 30.3 meters, Time: 21.8 seconds
Name: -, Instruction: Turn right, Distance: 8.8 meters, Time: 6.3 seconds
Name: -, Instruction: Turn left, Distance: 639.2 meters, Time: 460.2 seconds
Name: -, Instruction: Keep left, Distance: 6.0 meters, Time: 4.3 seconds
Name: Treetops Way, Instruction: Turn right onto Treetops Way, Distance: 72.8 meters, Time: 52.4 seconds
Name: Hazel Glen, Instruction: Turn left onto Hazel Glen, Distance: 108.7 meters, Time: 78.3 seconds
Name: -, Instruction: Arrive at Hazel Glen, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
