Name: Edmund Gate, Instruction: Head north on Edmund Gate, Distance: 96.0 meters, Time: 69.2 seconds
Name: Edmund Avenue, Instruction: Turn right onto Edmund Avenue, Distance: 152.0 meters, Time: 109.5 seconds
Name: -, Instruction: Turn left, Distance: 6.5 meters, Time: 4.7 seconds
Name: -, Instruction: Turn slight right, Distance: 1.8 meters, Time: 1.3 seconds
Name: -, Instruction: Turn slight left, Distance: 95.0 meters, Time: 68.4 seconds
Name: Clarendon Avenue, Instruction: Turn right onto Clarendon Avenue, Distance: 24.5 meters, Time: 17.6 seconds
Name: -, Instruction: Turn left, Distance: 93.0 meters, Time: 66.9 seconds
Name: -, Instruction: Keep right, Distance: 550.9 meters, Time: 396.7 seconds
Name: -, Instruction: Turn left, Distance: 5.1 meters, Time: 3.6 seconds
Name: Balmoral Avenue, Instruction: Turn right onto Balmoral Avenue, Distance: 40.9 meters, Time: 29.4 seconds
Name: -, Instruction: Turn left, Distance: 273.5 meters, Time: 196.9 seconds
Name: -, Instruction: Turn right, Distance: 16.9 meters, Time: 12.1 seconds
Name: -, Instruction: Turn left, Distance: 200.1 meters, Time: 144.1 seconds
Name: -, Instruction: Keep left, Distance: 76.8 meters, Time: 55.3 seconds
Name: -, Instruction: Keep left, Distance: 555.4 meters, Time: 399.9 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
