Name: Rue Paul Valéry, Instruction: Head northwest on Rue Paul Valéry, Distance: 16.7 meters, Time: 12.0 seconds
Name: -, Instruction: Turn right, Distance: 7.0 meters, Time: 5.1 seconds
Name: -, Instruction: Turn right, Distance: 795.6 meters, Time: 572.8 seconds
Name: -, Instruction: Turn left, Distance: 84.5 meters, Time: 60.9 seconds
Name: -, Instruction: Turn right, Distance: 68.8 meters, Time: 49.6 seconds
Name: -, Instruction: Turn slight right, Distance: 45.7 meters, Time: 32.9 seconds
Name: -, Instruction: Turn right, Distance: 167.6 meters, Time: 120.7 seconds
Name: -, Instruction: Turn left, Distance: 9.5 meters, Time: 6.8 seconds
Name: -, Instruction: Turn right, Distance: 24.7 meters, Time: 17.8 seconds
Name: -, Instruction: Turn left, Distance: 6.7 meters, Time: 4.8 seconds
Name: -, Instruction: Turn left, Distance: 14.5 meters, Time: 10.4 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
