Name: Goetheplatz, Instruction: Head south on Goetheplatz, Distance: 29.7 meters, Time: 21.4 seconds
Name: Häberlstraße, Instruction: Keep left onto Häberlstraße, Distance: 13.6 meters, Time: 9.8 seconds
Name: Lindwurmstraße, Instruction: Turn right onto Lindwurmstraße, Distance: 29.7 meters, Time: 21.4 seconds
Name: -, Instruction: Turn left, Distance: 299.9 meters, Time: 215.9 seconds
Name: -, Instruction: Turn left, Distance: 12.1 meters, Time: 8.7 seconds
Name: -, Instruction: Turn right, Distance: 520.5 meters, Time: 374.8 seconds
Name: -, Instruction: Turn right, Distance: 11.9 meters, Time: 8.6 seconds
Name: Kapuzinerstraße, Instruction: Turn left onto Kapuzinerstraße, Distance: 197.9 meters, Time: 142.5 seconds
Name: Kapuzinerstraße, Instruction: Turn right onto Kapuzinerstraße, Distance: 284.3 meters, Time: 204.7 seconds
Name: Schyrenstraße, Instruction: Keep right onto Schyrenstraße, Distance: 188.8 meters, Time: 135.9 seconds
Name: Schyrenstraße, Instruction: Continue straight onto Schyrenstraße, Distance: 332.3 meters, Time: 239.2 seconds
Name: Pilgersheimer Straße, Instruction: Keep right onto Pilgersheimer Straße, Distance: 10.0 meters, Time: 7.2 seconds
Name: Pilgersheimer Straße, Instruction: Turn right onto Pilgersheimer Straße, Distance: 394.4 meters, Time: 284.0 seconds
Name: -, Instruction: Turn left, Distance: 18.3 meters, Time: 13.2 seconds
Name: Pilgersheimer Straße, Instruction: Turn right onto Pilgersheimer Straße, Distance: 160.1 meters, Time: 115.3 seconds
Name: -, Instruction: Turn left, Distance: 6.2 meters, Time: 4.5 seconds
Name: -, Instruction: Turn right, Distance: 28.2 meters, Time: 20.3 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
