Name: Heath Street East, Instruction: Head east on Heath Street East, Distance: 77.9 meters, Time: 56.1 seconds
Name: -, Instruction: Turn left, Distance: 360.6 meters, Time: 259.6 seconds
Name: -, Instruction: Turn right, Distance: 7.7 meters, Time: 5.6 seconds
Name: -, Instruction: Keep left, Distance: 12.3 meters, Time: 8.8 seconds
Name: -, Instruction: Turn left, Distance: 310.4 meters, Time: 223.5 seconds
Name: -, Instruction: Turn slight right, Distance: 3.0 meters, Time: 2.2 seconds
Name: -, Instruction: Keep left, Distance: 129.5 meters, Time: 93.2 seconds
Name: -, Instruction: Keep left, Distance: 110.8 meters, Time: 79.8 seconds
Name: -, Instruction: Keep right, Distance: 306.3 meters, Time: 220.5 seconds
Name: -, Instruction: Turn left, Distance: 12.2 meters, Time: 8.8 seconds
Name: -, Instruction: Turn sharp right, Distance: 559.1 meters, Time: 402.5 seconds
Name: -, Instruction: Keep right, Distance: 95.9 meters, Time: 69.1 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
