Name: Harlow Avenue, Instruction: Head west on Harlow Avenue, Distance: 9.4 meters, Time: 6.8 seconds
Name: Ennerdale Road, Instruction: Turn left onto Ennerdale Road, Distance: 373.3 meters, Time: 268.8 seconds
Name: Holmesdale Crescent, Instruction: Turn sharp left onto Holmesdale Crescent, Distance: 268.9 meters, Time: 193.6 seconds
Name: Holmesdale Road, Instruction: Continue straight onto Holmesdale Road, Distance: 194.7 meters, Time: 140.2 seconds
Name: -, Instruction: Turn right, Distance: 9.5 meters, Time: 6.9 seconds
Name: -, Instruction: Turn right, Distance: 144.3 meters, Time: 103.9 seconds
Name: -, Instruction: Keep left, Distance: 116.1 meters, Time: 83.6 seconds
Name: -, Instruction: Keep left, Distance: 6.5 meters, Time: 4.7 seconds
Name: Bloem Avenue, Instruction: Turn right onto Bloem Avenue, Distance: 26.4 meters, Time: 19.0 seconds
Name: -, Instruction: Turn left, Distance: 4.1 meters, Time: 3.0 seconds
Name: -, Instruction: Turn right, Distance: 43.3 meters, Time: 31.1 seconds
Name: -, Instruction: Keep right, Distance: 7.1 meters, Time: 5.1 seconds
Name: Sellers Avenue, Instruction: Turn left onto Sellers Avenue, Distance: 36.4 meters, Time: 26.2 seconds
Name: -, Instruction: Turn right, Distance: 4.8 meters, Time: 3.4 seconds
Name: -, Instruction: Turn left, Distance: 30.9 meters, Time: 22.3 seconds
Name: -, Instruction: Turn slight right, Distance: 78.1 meters, Time: 56.3 seconds
Name: Day Avenue, Instruction: Turn left onto Day Avenue, Distance: 7.9 meters, Time: 5.7 seconds
Name: -, Instruction: Arrive at Day Avenue, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
