Name: Rue Parmentier, Instruction: Head southwest on Rue Parmentier, Distance: 32.3 meters, Time: 23.3 seconds
Name: -, Instruction: Turn left, Distance: 26.3 meters, Time: 19.0 seconds
Name: -, Instruction: Turn right, Distance: 149.5 meters, Time: 107.7 seconds
Name: Rue Gustave Charpentier, Instruction: Turn right onto Rue Gustave Charpentier, Distance: 105.2 meters, Time: 75.7 seconds
Name: -, Instruction: Turn left, Distance: 11.2 meters, Time: 8.1 seconds
Name: -, Instruction: Turn right, Distance: 27.9 meters, Time: 20.1 seconds
Name: -, Instruction: Turn left, Distance: 112.3 meters, Time: 80.9 seconds
Name: -, Instruction: Turn right, Distance: 8.2 meters, Time: 5.9 seconds
Name: -, Instruction: Turn right, Distance: 113.5 meters, Time: 81.7 seconds
Name: -, Instruction: Keep right, Distance: 60.4 meters, Time: 43.5 seconds
Name: -, Instruction: Turn sharp left, Distance: 112.5 meters, Time: 81.0 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
