Name: Johann-Sebastian-Bach-Straße, Instruction: Head south on Johann-Sebastian-Bach-Straße, Distance: 60.9 meters, Time: 43.9 seconds
Name: -, Instruction: Continue straight, Distance: 121.9 meters, Time: 87.8 seconds
Name: Max-Reger-Straße, Instruction: Turn right onto Max-Reger-Straße, Distance: 8.0 meters, Time: 5.8 seconds
Name: -, Instruction: Turn left, Distance: 84.2 meters, Time: 60.6 seconds
Name: -, Instruction: Turn left, Distance: 4.7 meters, Time: 3.4 seconds
Name: -, Instruction: Turn right, Distance: 33.2 meters, Time: 23.9 seconds
Name: Oskar-von-Miller-Straße, Instruction: Turn left onto Oskar-von-Miller-Straße, Distance: 5.1 meters, Time: 3.7 seconds
Name: -, Instruction: Turn right, Distance: 79.9 meters, Time: 57.6 seconds
Name: Streiflacher Straße, Instruction: Turn left onto Streiflacher Straße, Distance: 233.0 meters, Time: 167.8 seconds
Name: Südendstraße, Instruction: Keep left onto Südendstraße, Distance: 173.6 meters, Time: 125.0 seconds
Name: -, Instruction: Turn slight left, Distance: 13.5 meters, Time: 9.7 seconds
Name: -, Instruction: Keep left, Distance: 5.3 meters, Time: 3.8 seconds
Name: -, Instruction: Keep left, Distance: 3.8 meters, Time: 2.8 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
