Name: Lengkong Empat, Instruction: Head east on Lengkong Empat, Distance: 6.0 meters, Time: 4.3 seconds
Name: Jalan Selamat, Instruction: Turn right onto Jalan Selamat, Distance: 225.8 meters, Time: 162.6 seconds
Name: Jalan Paras, Instruction: Turn left onto Jalan Paras, Distance: 2.9 meters, Time: 2.1 seconds
Name: -, Instruction: Turn right, Distance: 2.6 meters, Time: 1.9 seconds
Name: -, Instruction: Turn left, Distance: 108.6 meters, Time: 78.2 seconds
Name: -, Instruction: Turn right, Distance: 145.5 meters, Time: 104.8 seconds
Name: -, Instruction: Turn sharp left, Distance: 55.4 meters, Time: 39.9 seconds
Name: -, Instruction: Turn right, Distance: 18.9 meters, Time: 13.6 seconds
Name: -, Instruction: Turn left, Distance: 153.5 meters, Time: 110.5 seconds
Name: Jalan Grisek, Instruction: Turn left onto Jalan Grisek, Distance: 189.8 meters, Time: 136.6 seconds
Name: -, Instruction: Turn left, Distance: 46.5 meters, Time: 33.5 seconds
Name: -, Instruction: Turn left, Distance: 28.5 meters, Time: 20.5 seconds
Name: -, Instruction: Turn sharp right, Distance: 167.6 meters, Time: 120.7 seconds
Name: -, Instruction: Turn left, Distance: 12.4 meters, Time: 9.0 seconds
Name: -, Instruction: Turn slight right, Distance: 45.0 meters, Time: 32.4 seconds
Name: -, Instruction: Turn slight right, Distance: 4.5 meters, Time: 3.2 seconds
Name: -, Instruction: Turn left, Distance: 61.6 meters, Time: 44.4 seconds
Name: Siglap Road, Instruction: Continue straight onto Siglap Road, Distance: 19.0 meters, Time: 13.7 seconds
Name: Maria Avenue, Instruction: Turn left onto Maria Avenue, Distance: 9.6 meters, Time: 6.9 seconds
Name: -, Instruction: Turn right, Distance: 152.5 meters, Time: 109.8 seconds
Name: Siglap Road, Instruction: Turn left onto Siglap Road, Distance: 16.7 meters, Time: 12.0 seconds
Name: -, Instruction: Keep left, Distance: 60.1 meters, Time: 43.3 seconds
Name: Fidelio Street, Instruction: Turn slight left onto Fidelio Street, Distance: 20.8 meters, Time: 15.0 seconds
Name: -, Instruction: Keep right, Distance: 13.0 meters, Time: 9.3 seconds
Name: -, Instruction: Turn left, Distance: 83.8 meters, Time: 60.4 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
