Name: Calle 75, Instruction: Head northeast on Calle 75, Distance: 84.4 meters, Time: 60.8 seconds
Name: Calzada General Ignacio Zaragoza, Instruction: Turn left onto Calzada General Ignacio Zaragoza, Distance: 152.4 meters, Time: 109.8 seconds
Name: Metro Zaragoza, Instruction: Turn right onto Metro Zaragoza, Distance: 58.5 meters, Time: 42.1 seconds
Name: Metro Zaragoza, Instruction: Turn left onto Metro Zaragoza, Distance: 216.0 meters, Time: 155.5 seconds
Name: Metro Zaragoza, Instruction: Turn left onto Metro Zaragoza, Distance: 54.7 meters, Time: 39.4 seconds
Name: Calzada General Ignacio Zaragoza, Instruction: Turn right onto Calzada General Ignacio Zaragoza, Distance: 140.5 meters, Time: 101.2 seconds
Name: Calle Secretaría del Tabajo, Instruction: Turn right onto Calle Secretaría del Tabajo, Distance: 240.3 meters, Time: 173.0 seconds
Name: -, Instruction: Turn right, Distance: 4.1 meters, Time: 3.0 seconds
Name: -, Instruction: Turn right, Distance: 26.3 meters, Time: 19.0 seconds
Name: -, Instruction: Turn left, Distance: 51.7 meters, Time: 37.2 seconds
Name: -, Instruction: Turn right, Distance: 21.3 meters, Time: 15.3 seconds
Name: -, Instruction: Turn slight left, Distance: 18.1 meters, Time: 13.1 seconds
Name: -, Instruction: Keep left, Distance: 14.2 meters, Time: 10.3 seconds
Name: -, Instruction: Turn right, Distance: 12.6 meters, Time: 9.1 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
