Name: Quainton Street, Instruction: Head northeast on Quainton Street, Distance: 188.9 meters, Time: 136.0 seconds
Name: -, Instruction: Turn left, Distance: 217.9 meters, Time: 156.9 seconds
Name: -, Instruction: Turn right, Distance: 15.5 meters, Time: 11.2 seconds
Name: -, Instruction: Turn left, Distance: 13.9 meters, Time: 10.0 seconds
Name: -, Instruction: Keep left, Distance: 13.9 meters, Time: 10.0 seconds
Name: -, Instruction: Turn slight left, Distance: 135.6 meters, Time: 97.6 seconds
Name: -, Instruction: Turn left, Distance: 15.6 meters, Time: 11.2 seconds
Name: -, Instruction: Turn right, Distance: 293.3 meters, Time: 211.2 seconds
Name: -, Instruction: Turn right, Distance: 31.9 meters, Time: 23.0 seconds
Name: -, Instruction: Turn left, Distance: 18.8 meters, Time: 13.6 seconds
Name: -, Instruction: Turn left, Distance: 205.4 meters, Time: 147.9 seconds
Name: Deanscroft Avenue, Instruction: Turn left onto Deanscroft Avenue, Distance: 313.1 meters, Time: 225.4 seconds
Name: Kingsmere Park, Instruction: Turn right onto Kingsmere Park, Distance: 305.1 meters, Time: 219.6 seconds
Name: Salmon Street, Instruction: Turn left onto Salmon Street, Distance: 56.7 meters, Time: 40.8 seconds
Name: Pilgrims Way, Instruction: Enter the roundabout and take the 2nd exit onto Pilgrims Way, Distance: 81.5 meters, Time: 58.7 seconds
Name: Pilgrims Way, Instruction: Turn slight right onto Pilgrims Way, Distance: 66.4 meters, Time: 47.8 seconds
Name: -, Instruction: Keep right, Distance: 124.0 meters, Time: 89.3 seconds
Name: -, Instruction: Keep right, Distance: 50.5 meters, Time: 36.4 seconds
Name: -, Instruction: Turn left, Distance: 60.8 meters, Time: 43.8 seconds
Name: -, Instruction: Turn right, Distance: 14.4 meters, Time: 10.4 seconds
Name: -, Instruction: Turn left, Distance: 157.3 meters, Time: 113.3 seconds
Name: -, Instruction: Turn right, Distance: 130.7 meters, Time: 94.1 seconds
Name: -, Instruction: Turn left, Distance: 88.4 meters, Time: 63.7 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
