Name: Kingdale Road, Instruction: Head southeast on Kingdale Road, Distance: 13.8 meters, Time: 10.0 seconds
Name: -, Instruction: Turn left, Distance: 4.2 meters, Time: 3.0 seconds
Name: -, Instruction: Turn slight right, Distance: 351.8 meters, Time: 253.3 seconds
Name: -, Instruction: Turn right, Distance: 23.6 meters, Time: 17.0 seconds
Name: -, Instruction: Turn sharp left, Distance: 14.3 meters, Time: 10.3 seconds
Name: -, Instruction: Turn right, Distance: 487.9 meters, Time: 351.3 seconds
Name: -, Instruction: Turn slight right, Distance: 24.1 meters, Time: 17.4 seconds
Name: Central Park Drive Shared Path, Instruction: Turn left onto Central Park Drive Shared Path, Distance: 188.6 meters, Time: 135.8 seconds
Name: -, Instruction: Turn right, Distance: 18.7 meters, Time: 13.5 seconds
Name: -, Instruction: Turn left, Distance: 39.4 meters, Time: 28.3 seconds
Name: -, Instruction: Turn right, Distance: 31.4 meters, Time: 22.6 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
