Name: Ladies Mile, Instruction: Head southeast on Ladies Mile, Distance: 8.4 meters, Time: 6.0 seconds
Name: -, Instruction: Turn left, Distance: 2.6 meters, Time: 1.8 seconds
Name: -, Instruction: Turn left, Distance: 92.4 meters, Time: 66.6 seconds
Name: -, Instruction: Turn right, Distance: 114.5 meters, Time: 82.5 seconds
Name: Manly Park Avenue, Instruction: Turn left onto Manly Park Avenue, Distance: 17.7 meters, Time: 12.7 seconds
Name: Tulip Close, Instruction: Turn right onto Tulip Close, Distance: 143.7 meters, Time: 103.5 seconds
Name: -, Instruction: Turn right, Distance: 275.6 meters, Time: 198.4 seconds
Name: -, Instruction: Turn slight right, Distance: 149.4 meters, Time: 107.6 seconds
Name: -, Instruction: Turn slight right, Distance: 14.0 meters, Time: 10.1 seconds
Name: -, Instruction: Turn right, Distance: 3.9 meters, Time: 2.8 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
