Name: Planegger Straße, Instruction: Head northwest on Planegger Straße, Distance: 8.7 meters, Time: 6.3 seconds
Name: -, Instruction: Turn right, Distance: 13.3 meters, Time: 9.6 seconds
Name: -, Instruction: Turn slight left, Distance: 24.9 meters, Time: 17.9 seconds
Name: -, Instruction: Turn right, Distance: 21.9 meters, Time: 15.8 seconds
Name: -, Instruction: Turn left, Distance: 15.9 meters, Time: 11.5 seconds
Name: Glückstraße, Instruction: Turn right onto Glückstraße, Distance: 71.6 meters, Time: 51.5 seconds
Name: Glockenstraße, Instruction: Turn left onto Glockenstraße, Distance: 95.4 meters, Time: 68.7 seconds
Name: Hartstraße, Instruction: Turn right onto Hartstraße, Distance: 73.6 meters, Time: 53.0 seconds
Name: Sonnwendstraße, Instruction: Turn left onto Sonnwendstraße, Distance: 6.8 meters, Time: 4.9 seconds
Name: -, Instruction: Turn right, Distance: 76.6 meters, Time: 55.2 seconds
Name: Herbststraße, Instruction: Turn left onto Herbststraße, Distance: 123.6 meters, Time: 89.0 seconds
Name: Südendstraße, Instruction: Turn right onto Südendstraße, Distance: 93.1 meters, Time: 67.0 seconds
Name: Südendstraße, Instruction: Turn left onto Südendstraße, Distance: 312.5 meters, Time: 225.0 seconds
Name: -, Instruction: Turn slight left, Distance: 13.5 meters, Time: 9.7 seconds
Name: -, Instruction: Keep right, Distance: 865.3 meters, Time: 623.0 seconds
Name: Hubertusstraße, Instruction: Turn left onto Hubertusstraße, Distance: 22.3 meters, Time: 16.0 seconds
Name: Stegmairstraße, Instruction: Turn right onto Stegmairstraße, Distance: 149.3 meters, Time: 107.5 seconds
Name: -, Instruction: Turn left, Distance: 87.4 meters, Time: 63.0 seconds
Name: -, Instruction: Turn right, Distance: 118.5 meters, Time: 85.3 seconds
Name: -, Instruction: Turn right, Distance: 17.0 meters, Time: 12.2 seconds
Name: -, Instruction: Turn right, Distance: 111.2 meters, Time: 80.1 seconds
Name: -, Instruction: Turn right, Distance: 16.2 meters, Time: 11.6 seconds
Name: -, Instruction: Turn sharp left, Distance: 15.3 meters, Time: 11.0 seconds
Name: -, Instruction: Turn right, Distance: 53.4 meters, Time: 38.4 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
