Name: Plough Way, B206, Instruction: Head east on Plough Way, B206, Distance: 8.1 meters, Time: 5.8 seconds
Name: Plough Way, Instruction: Continue straight onto Plough Way, Distance: 37.6 meters, Time: 27.1 seconds
Name: Windsock Close, Instruction: Turn left onto Windsock Close, Distance: 39.4 meters, Time: 28.4 seconds
Name: -, Instruction: Turn right, Distance: 52.0 meters, Time: 37.5 seconds
Name: Calypso Way, Instruction: Turn left onto Calypso Way, Distance: 35.5 meters, Time: 25.5 seconds
Name: -, Instruction: Turn right, Distance: 17.2 meters, Time: 12.4 seconds
Name: Calypso Way, Instruction: Continue straight onto Calypso Way, Distance: 20.2 meters, Time: 14.5 seconds
Name: -, Instruction: Turn left, Distance: 36.6 meters, Time: 26.3 seconds
Name: -, Instruction: Turn left, Distance: 48.6 meters, Time: 35.0 seconds
Name: Rope Street, Instruction: Turn right onto Rope Street, Distance: 57.0 meters, Time: 41.0 seconds
Name: South Sea Street, Instruction: Turn left onto South Sea Street, Distance: 59.8 meters, Time: 43.1 seconds
Name: -, Instruction: Turn left, Distance: 4.8 meters, Time: 3.5 seconds
Name: -, Instruction: Turn right, Distance: 117.5 meters, Time: 84.6 seconds
Name: -, Instruction: Turn left, Distance: 187.5 meters, Time: 135.0 seconds
Name: Finland Street, Instruction: Turn left onto Finland Street, Distance: 20.8 meters, Time: 14.9 seconds
Name: -, Instruction: Turn right, Distance: 33.7 meters, Time: 24.2 seconds
Name: Plover Way, Instruction: Turn left onto Plover Way, Distance: 133.3 meters, Time: 96.0 seconds
Name: Plover Way, Instruction: Turn left onto Plover Way, Distance: 24.7 meters, Time: 17.8 seconds
Name: Onega Gate, Instruction: Turn right onto Onega Gate, Distance: 69.2 meters, Time: 49.9 seconds
Name: -, Instruction: Turn left, Distance: 234.2 meters, Time: 168.6 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
