Name: Borden Street, Instruction: Head north on Borden Street, Distance: 7.4 meters, Time: 5.3 seconds
Name: -, Instruction: Turn left, Distance: 4.7 meters, Time: 3.4 seconds
Name: -, Instruction: Turn left, Distance: 1.5 meters, Time: 1.0 seconds
Name: -, Instruction: Turn right, Distance: 175.7 meters, Time: 126.5 seconds
Name: -, Instruction: Turn right, Distance: 29.0 meters, Time: 20.9 seconds
Name: -, Instruction: Turn right, Distance: 238.1 meters, Time: 171.4 seconds
Name: -, Instruction: Turn left, Distance: 18.3 meters, Time: 13.2 seconds
Name: -, Instruction: Turn right, Distance: 250.6 meters, Time: 180.4 seconds
Name: -, Instruction: Turn left, Distance: 88.1 meters, Time: 63.4 seconds
Name: -, Instruction: Turn right, Distance: 74.1 meters, Time: 53.4 seconds
Name: London Street, Instruction: Turn left onto London Street, Distance: 2.8 meters, Time: 2.0 seconds
Name: Markham Street, Instruction: Turn right onto Markham Street, Distance: 6.1 meters, Time: 4.4 seconds
Name: -, Instruction: Turn left, Distance: 5.0 meters, Time: 3.6 seconds
Name: -, Instruction: Keep left, Distance: 44.7 meters, Time: 32.2 seconds
Name: Sunnyview Lane, Instruction: Turn right onto Sunnyview Lane, Distance: 62.6 meters, Time: 45.1 seconds
Name: -, Instruction: Turn slight left, Distance: 55.2 meters, Time: 39.8 seconds
Name: -, Instruction: Turn slight right, Distance: 59.1 meters, Time: 42.5 seconds
Name: -, Instruction: Keep left, Distance: 68.5 meters, Time: 49.3 seconds
Name: Barton Avenue, Instruction: Turn left onto Barton Avenue, Distance: 43.3 meters, Time: 31.2 seconds
Name: -, Instruction: Turn right, Distance: 4.2 meters, Time: 3.0 seconds
Name: -, Instruction: Turn slight left, Distance: 2.4 meters, Time: 1.7 seconds
Name: -, Instruction: Turn left, Distance: 9.2 meters, Time: 6.6 seconds
Name: -, Instruction: Turn right, Distance: 162.2 meters, Time: 116.8 seconds
Name: -, Instruction: Turn slight left, Distance: 1.1 meters, Time: 0.8 seconds
Name: -, Instruction: Keep right, Distance: 8.0 meters, Time: 5.8 seconds
Name: -, Instruction: Turn left, Distance: 88.8 meters, Time: 63.9 seconds
Name: -, Instruction: Turn right, Distance: 68.0 meters, Time: 48.9 seconds
Name: -, Instruction: Keep left, Distance: 12.5 meters, Time: 9.0 seconds
Name: -, Instruction: Turn left, Distance: 4.1 meters, Time: 2.9 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
