Name: شارع 33, Instruction: Head southwest on شارع 33, Distance: 403.9 meters, Time: 290.8 seconds
Name: شارع 36, Instruction: Turn right onto شارع 36, Distance: 15.4 meters, Time: 11.1 seconds
Name: -, Instruction: Turn left, Distance: 24.3 meters, Time: 17.5 seconds
Name: شارع 36, Instruction: Turn sharp right onto شارع 36, Distance: 41.3 meters, Time: 29.7 seconds
Name: شارع 35, Instruction: Turn left onto شارع 35, Distance: 162.8 meters, Time: 117.2 seconds
Name: -, Instruction: Turn left, Distance: 51.9 meters, Time: 37.4 seconds
Name: شارع 2, Instruction: Turn left onto شارع 2, Distance: 13.3 meters, Time: 9.6 seconds
Name: -, Instruction: Turn right, Distance: 50.6 meters, Time: 36.4 seconds
Name: شارع 2, Instruction: Turn right onto شارع 2, Distance: 8.7 meters, Time: 6.2 seconds
Name: -, Instruction: Turn left, Distance: 48.1 meters, Time: 34.7 seconds
Name: -, Instruction: Turn right, Distance: 47.4 meters, Time: 34.1 seconds
Name: -, Instruction: Turn left, Distance: 1.4 meters, Time: 1.0 seconds
Name: -, Instruction: Turn right, Distance: 30.0 meters, Time: 21.6 seconds
Name: -, Instruction: Turn slight right, Distance: 6.2 meters, Time: 4.4 seconds
Name: -, Instruction: Turn slight left, Distance: 5.5 meters, Time: 4.0 seconds
Name: -, Instruction: Turn right, Distance: 25.9 meters, Time: 18.7 seconds
Name: -, Instruction: Turn slight left, Distance: 4.3 meters, Time: 3.1 seconds
Name: -, Instruction: Turn right, Distance: 106.9 meters, Time: 76.9 seconds
Name: -, Instruction: Turn right, Distance: 4.0 meters, Time: 2.9 seconds
Name: -, Instruction: Keep left, Distance: 48.0 meters, Time: 34.5 seconds
Name: -, Instruction: Turn slight left, Distance: 3.4 meters, Time: 2.4 seconds
Name: -, Instruction: Turn slight left, Distance: 3.2 meters, Time: 2.3 seconds
Name: -, Instruction: Turn slight left, Distance: 3.1 meters, Time: 2.2 seconds
Name: -, Instruction: Turn right, Distance: 63.4 meters, Time: 45.6 seconds
Name: -, Instruction: Turn slight left, Distance: 146.2 meters, Time: 105.3 seconds
Name: -, Instruction: Turn right, Distance: 45.7 meters, Time: 32.9 seconds
Name: شارع 2, Instruction: Turn left onto شارع 2, Distance: 111.9 meters, Time: 80.6 seconds
Name: -, Instruction: Arrive at شارع 2, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
