Name: Avenue des Fortifications, Instruction: Head southwest on Avenue des Fortifications, Distance: 310.5 meters, Time: 223.6 seconds
Name: Avenue Principale, Instruction: Turn left onto Avenue Principale, Distance: 29.9 meters, Time: 21.6 seconds
Name: Avenue du Cimetière des Batignolles, Instruction: Continue straight onto Avenue du Cimetière des Batignolles, Distance: 172.1 meters, Time: 123.9 seconds
Name: -, Instruction: Turn left, Distance: 126.4 meters, Time: 91.0 seconds
Name: -, Instruction: Turn left, Distance: 11.5 meters, Time: 8.3 seconds
Name: -, Instruction: Turn right, Distance: 47.6 meters, Time: 34.2 seconds
Name: -, Instruction: Turn right, Distance: 6.2 meters, Time: 4.5 seconds
Name: -, Instruction: Keep left, Distance: 39.1 meters, Time: 28.2 seconds
Name: -, Instruction: Keep right, Distance: 214.5 meters, Time: 154.4 seconds
Name: -, Instruction: Turn right, Distance: 14.1 meters, Time: 10.1 seconds
Name: -, Instruction: Turn left, Distance: 68.2 meters, Time: 49.1 seconds
Name: Rue Bernard Buffet, Instruction: Turn right onto Rue Bernard Buffet, Distance: 57.4 meters, Time: 41.3 seconds
Name: Rue René Blum, Instruction: Turn left onto Rue René Blum, Distance: 9.6 meters, Time: 6.9 seconds
Name: Allée André François Bron De Bailly, Instruction: Turn right onto Allée André François Bron De Bailly, Distance: 6.1 meters, Time: 4.4 seconds
Name: Allée Lucien Lupi, Instruction: Keep left onto Allée Lucien Lupi, Distance: 272.4 meters, Time: 196.1 seconds
Name: Allée Lucie Dreyfus, Instruction: Turn left onto Allée Lucie Dreyfus, Distance: 102.3 meters, Time: 73.7 seconds
Name: -, Instruction: Turn right, Distance: 18.8 meters, Time: 13.5 seconds
Name: -, Instruction: Turn left, Distance: 96.6 meters, Time: 69.5 seconds
Name: -, Instruction: Turn left, Distance: 16.0 meters, Time: 11.5 seconds
Name: -, Instruction: Turn right, Distance: 69.5 meters, Time: 50.0 seconds
Name: -, Instruction: Turn slight right, Distance: 16.4 meters, Time: 11.8 seconds
Name: -, Instruction: Turn left, Distance: 257.6 meters, Time: 185.5 seconds
Name: -, Instruction: Turn slight left, Distance: 10.6 meters, Time: 7.6 seconds
Name: -, Instruction: Turn left, Distance: 1.6 meters, Time: 1.1 seconds
Name: -, Instruction: Turn right, Distance: 206.5 meters, Time: 148.7 seconds
Name: -, Instruction: Turn slight right, Distance: 2.6 meters, Time: 1.9 seconds
Name: -, Instruction: Turn left, Distance: 7.8 meters, Time: 5.6 seconds
Name: -, Instruction: Turn slight left, Distance: 3.7 meters, Time: 2.7 seconds
Name: -, Instruction: Turn slight right, Distance: 82.7 meters, Time: 59.5 seconds
Name: -, Instruction: Turn right, Distance: 2.9 meters, Time: 2.1 seconds
Name: -, Instruction: Turn left, Distance: 131.7 meters, Time: 94.8 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
