Name: Jan Smuts Road, Instruction: Head east on Jan Smuts Road, Distance: 200.5 meters, Time: 144.3 seconds
Name: Durban Road, Instruction: Turn slight right onto Durban Road, Distance: 7.5 meters, Time: 5.4 seconds
Name: Riebeek Street, Instruction: Turn left onto Riebeek Street, Distance: 96.7 meters, Time: 69.6 seconds
Name: Wolfe Street, Instruction: Turn left onto Wolfe Street, Distance: 6.4 meters, Time: 4.6 seconds
Name: -, Instruction: Turn right, Distance: 29.8 meters, Time: 21.4 seconds
Name: -, Instruction: Turn left, Distance: 191.7 meters, Time: 138.0 seconds
Name: -, Instruction: Turn right, Distance: 35.5 meters, Time: 25.5 seconds
Name: -, Instruction: Turn right, Distance: 26.2 meters, Time: 18.9 seconds
Name: -, Instruction: Keep left, Distance: 31.4 meters, Time: 22.6 seconds
Name: -, Instruction: Keep left, Distance: 58.2 meters, Time: 41.9 seconds
Name: Church Street, Instruction: Turn right onto Church Street, Distance: 92.8 meters, Time: 66.8 seconds
Name: Court Road, Instruction: Turn left onto Court Road, Distance: 77.8 meters, Time: 56.0 seconds
Name: -, Instruction: Arrive at Court Road, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
