Name: Wewatta Street, Instruction: Head southwest on Wewatta Street, Distance: 11.0 meters, Time: 7.9 seconds
Name: -, Instruction: Turn left, Distance: 15.7 meters, Time: 11.3 seconds
Name: -, Instruction: Turn right, Distance: 297.5 meters, Time: 214.2 seconds
Name: -, Instruction: Turn left, Distance: 128.2 meters, Time: 92.3 seconds
Name: -, Instruction: Continue straight, Distance: 27.4 meters, Time: 19.8 seconds
Name: -, Instruction: Turn right, Distance: 166.3 meters, Time: 119.7 seconds
Name: -, Instruction: Turn left, Distance: 23.9 meters, Time: 17.2 seconds
Name: -, Instruction: Turn right, Distance: 43.7 meters, Time: 31.4 seconds
Name: -, Instruction: Turn left, Distance: 185.5 meters, Time: 133.6 seconds
Name: -, Instruction: Turn right, Distance: 17.0 meters, Time: 12.3 seconds
Name: -, Instruction: Turn left, Distance: 52.5 meters, Time: 37.8 seconds
Name: Wazee Street, Instruction: Turn right onto Wazee Street, Distance: 35.1 meters, Time: 25.2 seconds
Name: -, Instruction: Arrive at Wazee Street, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
