Name: Moxon Street, Instruction: Head east on Moxon Street, Distance: 41.5 meters, Time: 29.8 seconds
Name: -, Instruction: Turn left, Distance: 89.2 meters, Time: 64.3 seconds
Name: -, Instruction: Turn right, Distance: 12.5 meters, Time: 9.0 seconds
Name: -, Instruction: Turn left, Distance: 110.8 meters, Time: 79.8 seconds
Name: -, Instruction: Turn left, Distance: 74.9 meters, Time: 53.9 seconds
Name: -, Instruction: Turn slight left, Distance: 12.7 meters, Time: 9.2 seconds
Name: -, Instruction: Turn left, Distance: 100.7 meters, Time: 72.5 seconds
Name: -, Instruction: Turn left, Distance: 12.2 meters, Time: 8.8 seconds
Name: -, Instruction: Turn left, Distance: 149.3 meters, Time: 107.5 seconds
Name: -, Instruction: Turn right, Distance: 2.2 meters, Time: 1.6 seconds
Name: -, Instruction: Turn left, Distance: 28.6 meters, Time: 20.6 seconds
Name: -, Instruction: Turn left, Distance: 4.6 meters, Time: 3.3 seconds
Name: -, Instruction: Turn left, Distance: 12.8 meters, Time: 9.2 seconds
Name: -, Instruction: Turn right, Distance: 121.3 meters, Time: 87.4 seconds
Name: Great Portland Street, Instruction: Turn left onto Great Portland Street, Distance: 122.1 meters, Time: 87.9 seconds
Name: -, Instruction: Turn right, Distance: 22.3 meters, Time: 16.0 seconds
Name: Great Portland Street, Instruction: Turn left onto Great Portland Street, Distance: 94.7 meters, Time: 68.2 seconds
Name: -, Instruction: Turn left, Distance: 10.9 meters, Time: 7.9 seconds
Name: -, Instruction: Turn right, Distance: 62.1 meters, Time: 44.7 seconds
Name: -, Instruction: Keep left, Distance: 6.3 meters, Time: 4.6 seconds
Name: Conway Street, Instruction: Turn right onto Conway Street, Distance: 29.3 meters, Time: 21.1 seconds
Name: -, Instruction: Turn left, Distance: 76.6 meters, Time: 55.1 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
