Name: Rue Saint-Dominique, Instruction: Head southeast on Rue Saint-Dominique, Distance: 143.5 meters, Time: 103.3 seconds
Name: -, Instruction: Turn left, Distance: 4.4 meters, Time: 3.1 seconds
Name: -, Instruction: Turn right, Distance: 112.1 meters, Time: 80.7 seconds
Name: -, Instruction: Turn left, Distance: 3.1 meters, Time: 2.3 seconds
Name: -, Instruction: Turn right, Distance: 4.0 meters, Time: 2.9 seconds
Name: Rue de Bellechasse, Instruction: Turn left onto Rue de Bellechasse, Distance: 240.4 meters, Time: 173.1 seconds
Name: Rue de la Légion d'Honneur, Instruction: Continue straight onto Rue de la Légion d'Honneur, Distance: 53.4 meters, Time: 38.5 seconds
Name: -, Instruction: Turn right, Distance: 57.3 meters, Time: 41.3 seconds
Name: -, Instruction: Turn right, Distance: 178.9 meters, Time: 128.8 seconds
Name: -, Instruction: Turn left, Distance: 12.6 meters, Time: 9.1 seconds
Name: -, Instruction: Turn right, Distance: 108.7 meters, Time: 78.3 seconds
Name: -, Instruction: Keep right, Distance: 32.3 meters, Time: 23.3 seconds
Name: -, Instruction: Turn left, Distance: 322.3 meters, Time: 232.0 seconds
Name: -, Instruction: Turn right, Distance: 4.8 meters, Time: 3.5 seconds
Name: -, Instruction: Turn left, Distance: 34.5 meters, Time: 24.8 seconds
Name: -, Instruction: Turn sharp right, Distance: 2.4 meters, Time: 1.7 seconds
Name: -, Instruction: Turn sharp left, Distance: 3.2 meters, Time: 2.3 seconds
Name: -, Instruction: Keep right, Distance: 149.0 meters, Time: 107.2 seconds
Name: -, Instruction: Keep right, Distance: 42.4 meters, Time: 30.5 seconds
Name: Port du Louvre, Instruction: Turn slight left onto Port du Louvre, Distance: 179.1 meters, Time: 129.0 seconds
Name: Port du Louvre, Instruction: Continue straight onto Port du Louvre, Distance: 149.5 meters, Time: 107.6 seconds
Name: Parc Rives de Seine - Georges Pompidou, Instruction: Turn slight right onto Parc Rives de Seine - Georges Pompidou, Distance: 78.2 meters, Time: 56.3 seconds
Name: -, Instruction: Turn left, Distance: 7.9 meters, Time: 5.7 seconds
Name: -, Instruction: Turn right, Distance: 18.1 meters, Time: 13.0 seconds
Name: -, Instruction: Continue straight, Distance: 33.7 meters, Time: 24.3 seconds
Name: -, Instruction: Keep right, Distance: 13.6 meters, Time: 9.8 seconds
Name: -, Instruction: Turn left, Distance: 19.1 meters, Time: 13.7 seconds
Name: -, Instruction: Turn right, Distance: 31.8 meters, Time: 22.9 seconds
Name: Rue du Pont Neuf, Instruction: Turn left onto Rue du Pont Neuf, Distance: 334.3 meters, Time: 240.7 seconds
Name: -, Instruction: Turn right, Distance: 4.5 meters, Time: 3.3 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
