Name: Jellicoe Road, Instruction: Head southwest on Jellicoe Road, Distance: 112.9 meters, Time: 81.3 seconds
Name: -, Instruction: Turn left, Distance: 18.4 meters, Time: 13.2 seconds
Name: -, Instruction: Turn right, Distance: 19.3 meters, Time: 13.9 seconds
Name: -, Instruction: Turn left, Distance: 57.8 meters, Time: 41.6 seconds
Name: Rochor Canal Road, Instruction: Turn right onto Rochor Canal Road, Distance: 26.5 meters, Time: 19.1 seconds
Name: -, Instruction: Continue straight, Distance: 86.6 meters, Time: 62.3 seconds
Name: -, Instruction: Continue straight, Distance: 134.6 meters, Time: 96.9 seconds
Name: -, Instruction: Turn left, Distance: 32.4 meters, Time: 23.3 seconds
Name: -, Instruction: Turn right, Distance: 654.3 meters, Time: 471.1 seconds
Name: -, Instruction: Turn left, Distance: 28.9 meters, Time: 20.8 seconds
Name: -, Instruction: Turn right, Distance: 6.6 meters, Time: 4.8 seconds
Name: -, Instruction: Turn left, Distance: 532.0 meters, Time: 383.0 seconds
Name: -, Instruction: Keep right, Distance: 338.8 meters, Time: 244.0 seconds
Name: -, Instruction: Turn right, Distance: 24.2 meters, Time: 17.4 seconds
Name: -, Instruction: Turn left, Distance: 85.4 meters, Time: 61.5 seconds
Name: -, Instruction: Turn left, Distance: 126.1 meters, Time: 90.8 seconds
Name: Loke Yew Street, Instruction: Turn right onto Loke Yew Street, Distance: 4.1 meters, Time: 3.0 seconds
Name: -, Instruction: Arrive at Loke Yew Street, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
